ID,Date,Reservoir_Storage(AF)
TUL,19850102,58770
TUL,19850103,m
TUL,19850104,m
TUL,19850105,m
TUL,19850106,m
TUL,19850107,m
TUL,19850108,58590
TUL,19850109,m
TUL,19850110,m
TUL,19850111,m
TUL,19850112,m
TUL,19850113,m
TUL,19850114,m
TUL,19850115,58570
TUL,19850116,m
TUL,19850117,m
TUL,19850118,m
TUL,19850119,m
TUL,19850120,m
TUL,19850121,m
TUL,19850122,58410
TUL,19850123,m
TUL,19850124,m
TUL,19850125,m
TUL,19850126,m
TUL,19850127,m
TUL,19850128,m
TUL,19850129,58880
TUL,19850130,m
TUL,19850131,m
TUL,19850201,m
TUL,19850202,m
TUL,19850203,m
TUL,19850204,m
TUL,19850205,59040
TUL,19850206,m
TUL,19850207,m
TUL,19850208,m
TUL,19850209,m
TUL,19850210,m
TUL,19850211,m
TUL,19850212,m
TUL,19850213,58130
TUL,19850214,m
TUL,19850215,m
TUL,19850216,m
TUL,19850217,m
TUL,19850218,m
TUL,19850219,59610
TUL,19850220,m
TUL,19850221,m
TUL,19850222,m
TUL,19850223,m
TUL,19850224,m
TUL,19850225,m
TUL,19850226,58610
TUL,19850227,m
TUL,19850228,m
TUL,19850301,59820
TUL,19850302,m
TUL,19850303,m
TUL,19850304,m
TUL,19850305,58770
TUL,19850306,m
TUL,19850307,m
TUL,19850308,m
TUL,19850309,m
TUL,19850310,m
TUL,19850311,m
TUL,19850312,60340
TUL,19850313,m
TUL,19850314,m
TUL,19850315,m
TUL,19850316,m
TUL,19850317,m
TUL,19850318,m
TUL,19850319,59980
TUL,19850320,m
TUL,19850321,m
TUL,19850322,m
TUL,19850323,m
TUL,19850324,m
TUL,19850325,m
TUL,19850326,58660
TUL,19850327,m
TUL,19850328,m
TUL,19850329,m
TUL,19850330,m
TUL,19850331,m
TUL,19850401,m
TUL,19850402,60050
TUL,19850403,m
TUL,19850404,m
TUL,19850405,m
TUL,19850406,m
TUL,19850407,m
TUL,19850408,m
TUL,19850409,59660
TUL,19850410,m
TUL,19850411,m
TUL,19850412,m
TUL,19850413,m
TUL,19850414,m
TUL,19850415,m
TUL,19850416,63270
TUL,19850417,m
TUL,19850418,m
TUL,19850419,m
TUL,19850420,m
TUL,19850421,m
TUL,19850422,m
TUL,19850423,62600
TUL,19850424,m
TUL,19850425,m
TUL,19850426,m
TUL,19850427,m
TUL,19850428,m
TUL,19850429,m
TUL,19850430,62640
TUL,19850501,m
TUL,19850502,m
TUL,19850503,m
TUL,19850504,m
TUL,19850505,m
TUL,19850506,m
TUL,19850507,62900
TUL,19850508,m
TUL,19850509,m
TUL,19850510,m
TUL,19850511,m
TUL,19850512,m
TUL,19850513,m
TUL,19850514,65770
TUL,19850515,m
TUL,19850516,m
TUL,19850517,m
TUL,19850518,m
TUL,19850519,m
TUL,19850520,m
TUL,19850521,64430
TUL,19850522,m
TUL,19850523,m
TUL,19850524,m
TUL,19850525,m
TUL,19850526,m
TUL,19850527,m
TUL,19850528,65620
TUL,19850529,m
TUL,19850530,m
TUL,19850531,m
TUL,19850601,m
TUL,19850602,m
TUL,19850603,m
TUL,19850604,64960
TUL,19850605,m
TUL,19850606,m
TUL,19850607,m
TUL,19850608,m
TUL,19850609,m
TUL,19850610,m
TUL,19850611,65130
TUL,19850612,m
TUL,19850613,m
TUL,19850614,m
TUL,19850615,m
TUL,19850616,m
TUL,19850617,m
TUL,19850618,65150
TUL,19850619,m
TUL,19850620,m
TUL,19850621,m
TUL,19850622,m
TUL,19850623,m
TUL,19850624,m
TUL,19850625,65720
TUL,19850626,m
TUL,19850627,m
TUL,19850628,m
TUL,19850629,m
TUL,19850630,m
TUL,19850701,m
TUL,19850702,65440
TUL,19850703,m
TUL,19850704,m
TUL,19850705,m
TUL,19850706,m
TUL,19850707,m
TUL,19850708,m
TUL,19850709,65300
TUL,19850710,m
TUL,19850711,m
TUL,19850712,m
TUL,19850713,m
TUL,19850714,m
TUL,19850715,m
TUL,19850716,66020
TUL,19850717,m
TUL,19850718,m
TUL,19850719,0
TUL,19850720,m
TUL,19850721,m
TUL,19850722,m
TUL,19850723,65120
TUL,19850724,65100
TUL,19850725,65340
TUL,19850726,m
TUL,19850727,m
TUL,19850728,m
TUL,19850729,m
TUL,19850730,65100
TUL,19850731,65060
TUL,19850801,65010
TUL,19850802,m
TUL,19850803,m
TUL,19850804,m
TUL,19850805,m
TUL,19850806,66000
TUL,19850807,64930
TUL,19850808,m
TUL,19850809,m
TUL,19850810,m
TUL,19850811,m
TUL,19850812,m
TUL,19850813,65110
TUL,19850814,m
TUL,19850815,m
TUL,19850816,m
TUL,19850817,m
TUL,19850818,m
TUL,19850819,m
TUL,19850820,65780
TUL,19850821,m
TUL,19850822,m
TUL,19850823,m
TUL,19850824,m
TUL,19850825,m
TUL,19850826,m
TUL,19850827,65440
TUL,19850828,m
TUL,19850829,m
TUL,19850830,65250
TUL,19850831,m
TUL,19850901,m
TUL,19850902,m
TUL,19850903,64830
TUL,19850904,m
TUL,19850905,m
TUL,19850906,m
TUL,19850907,m
TUL,19850908,m
TUL,19850909,m
TUL,19850910,65630
TUL,19850911,m
TUL,19850912,m
TUL,19850913,m
TUL,19850914,m
TUL,19850915,m
TUL,19850916,m
TUL,19850917,65200
TUL,19850918,m
TUL,19850919,m
TUL,19850920,m
TUL,19850921,m
TUL,19850922,m
TUL,19850923,m
TUL,19850924,65270
TUL,19850925,m
TUL,19850926,m
TUL,19850927,m
TUL,19850928,m
TUL,19850929,m
TUL,19850930,m
TUL,19851001,65130
TUL,19851002,m
TUL,19851003,m
TUL,19851004,m
TUL,19851005,m
TUL,19851006,m
TUL,19851007,m
TUL,19851008,65060
TUL,19851009,m
TUL,19851010,m
TUL,19851011,m
TUL,19851012,m
TUL,19851013,m
TUL,19851014,m
TUL,19851015,64130
TUL,19851016,m
TUL,19851017,m
TUL,19851018,m
TUL,19851019,m
TUL,19851020,m
TUL,19851021,m
TUL,19851022,60320
TUL,19851023,m
TUL,19851024,m
TUL,19851025,m
TUL,19851026,m
TUL,19851027,m
TUL,19851028,m
TUL,19851029,58290
TUL,19851030,m
TUL,19851031,m
TUL,19851101,m
TUL,19851102,m
TUL,19851103,m
TUL,19851104,m
TUL,19851105,57860
TUL,19851106,m
TUL,19851107,m
TUL,19851108,m
TUL,19851109,m
TUL,19851110,m
TUL,19851111,m
TUL,19851112,57560
TUL,19851113,m
TUL,19851114,m
TUL,19851115,m
TUL,19851116,m
TUL,19851117,m
TUL,19851118,m
TUL,19851119,59170
TUL,19851120,m
TUL,19851121,m
TUL,19851122,m
TUL,19851123,m
TUL,19851124,m
