ID,Date,Reservoir_Storage(AF)
UNV,19880724,84604
UNV,19880725,84246
UNV,19880726,84024
UNV,19880727,83851
UNV,19880728,83764
UNV,19880729,83068
UNV,19880730,82750
UNV,19880731,82750
UNV,19880801,m
UNV,19880802,m
UNV,19880803,m
UNV,19880804,m
UNV,19880805,m
UNV,19880806,m
UNV,19880807,m
UNV,19880808,m
UNV,19880809,m
UNV,19880810,m
UNV,19880811,m
UNV,19880812,m
UNV,19880813,m
UNV,19880814,m
UNV,19880815,m
UNV,19880816,m
UNV,19880817,m
UNV,19880818,m
UNV,19880819,m
UNV,19880820,m
UNV,19880821,m
UNV,19880822,m
UNV,19880823,m
UNV,19880824,m
UNV,19880825,m
UNV,19880826,m
UNV,19880827,m
UNV,19880828,m
UNV,19880829,m
UNV,19880830,m
UNV,19880831,m
UNV,19880901,m
UNV,19880902,m
UNV,19880903,m
UNV,19880904,m
UNV,19880905,m
UNV,19880906,m
UNV,19880907,m
UNV,19880908,m
UNV,19880909,m
UNV,19880910,m
UNV,19880911,m
UNV,19880912,m
UNV,19880913,m
UNV,19880914,64527
UNV,19880915,63695
UNV,19880916,62868
UNV,19880917,62
UNV,19880918,62408
UNV,19880919,61360
UNV,19880920,60648
UNV,19880921,59748
UNV,19880922,58968
UNV,19880923,58199
UNV,19880924,57989
UNV,19880925,57646
UNV,19880926,56748
UNV,19880927,55968
UNV,19880928,55232
UNV,19880929,54333
UNV,19880930,53556
UNV,19881001,53346
UNV,19881002,53017
UNV,19881003,52640
UNV,19881004,52507
UNV,19881005,52399
UNV,19881006,52308
UNV,19881007,52058
UNV,19881008,51828
UNV,19881009,51484
UNV,19881010,51229
UNV,19881011,51051
UNV,19881012,50833
UNV,19881013,50566
UNV,19881014,50348
UNV,19881015,50125
UNV,19881016,49902
UNV,19881017,49671
UNV,19881018,49293
UNV,19881019,49018
UNV,19881020,48830
UNV,19881021,48729
UNV,19881022,48489
UNV,19881023,48256
UNV,19881024,47994
UNV,19881025,47757
UNV,19881026,47772
UNV,19881027,47231
UNV,19881028,46893
UNV,19881029,46600
UNV,19881030,46339
UNV,19881031,46036
UNV,19881101,4586
UNV,19881102,45835
UNV,19881103,45477
UNV,19881104,45250
UNV,19881105,45031
UNV,19881106,44844
UNV,19881107,44521
UNV,19881108,44284
UNV,19881109,43958
UNV,19881110,43802
UNV,19881111,43590
UNV,19881112,43436
UNV,19881113,43675
UNV,19881114,43562
UNV,19881115,43675
UNV,19881116,43604
UNV,19881117,43436
UNV,19881118,43443
UNV,19881119,43338
UNV,19881120,43359
UNV,19881121,42996
UNV,19881122,43108
UNV,19881123,45477
UNV,19881124,46102
UNV,19881125,46488
UNV,19881126,46758
UNV,19881127,46863
UNV,19881128,46893
UNV,19881129,46900
UNV,19881130,46900
UNV,19881201,46848
UNV,19881202,47088
UNV,19881203,47021
UNV,19881204,46968
UNV,19881205,46690
UNV,19881206,46280
UNV,19881207,45984
UNV,19881208,45711
UNV,19881209,45396
UNV,19881210,45513
UNV,19881211,45652
UNV,19881212,45382
UNV,19881213,45089
UNV,19881214,45046
UNV,19881215,44585
UNV,19881216,44263
UNV,19881217,44121
UNV,19881218,44206
UNV,19881219,43930
UNV,19881220,43831
UNV,19881221,43471
UNV,19881222,43310
UNV,19881223,43136
UNV,19881224,43143
UNV,19881225,43052
UNV,19881226,42996
UNV,19881227,42445
UNV,19881228,42204
UNV,19881229,41743
UNV,19881230,41259
UNV,19881231,41259
UNV,19890101,41138
UNV,19890102,41072
UNV,19890103,40720
UNV,19890104,40306
UNV,19890105,40273
UNV,19890106,40143
UNV,19890107,40437
UNV,19890108,40175
UNV,19890109,40136
UNV,19890110,39754
UNV,19890111,39298
UNV,19890112,38909
UNV,19890113,38613
UNV,19890114,38550
UNV,19890115,38500
UNV,19890116,37847
UNV,19890117,38039
UNV,19890118,38349
UNV,19890119,38538
UNV,19890120,37797
UNV,19890121,37673
UNV,19890122,37515
UNV,19890123,37136
UNV,19890124,36840
UNV,19890125,m
UNV,19890126,35875
UNV,19890127,35770
UNV,19890128,35431
UNV,19890129,35419
UNV,19890130,35199
UNV,19890131,35084
UNV,19890201,35073
UNV,19890202,34705
UNV,19890203,34524
UNV,19890204,37745
UNV,19890205,34871
UNV,19890206,33976
UNV,19890207,33304
