ID,Date,Reservoir_Storage(AF)
WHI,19850101,205200
WHI,19850102,m
WHI,19850103,m
WHI,19850104,m
WHI,19850105,m
WHI,19850106,m
WHI,19850107,204800
WHI,19850108,m
WHI,19850109,m
WHI,19850110,m
WHI,19850111,m
WHI,19850112,m
WHI,19850113,m
WHI,19850114,205800
WHI,19850115,m
WHI,19850116,m
WHI,19850117,m
WHI,19850118,m
WHI,19850119,m
WHI,19850120,m
WHI,19850121,206100
WHI,19850122,m
WHI,19850123,m
WHI,19850124,m
WHI,19850125,m
WHI,19850126,m
WHI,19850127,m
WHI,19850128,205700
WHI,19850129,m
WHI,19850130,m
WHI,19850131,m
WHI,19850201,m
WHI,19850202,m
WHI,19850203,m
WHI,19850204,204400
WHI,19850205,m
WHI,19850206,m
WHI,19850207,m
WHI,19850208,m
WHI,19850209,m
WHI,19850210,m
WHI,19850211,m
WHI,19850212,204400
WHI,19850213,m
WHI,19850214,m
WHI,19850215,m
WHI,19850216,m
WHI,19850217,m
WHI,19850218,205400
WHI,19850219,m
WHI,19850220,m
WHI,19850221,m
WHI,19850222,m
WHI,19850223,m
WHI,19850224,m
WHI,19850225,206300
WHI,19850226,m
WHI,19850227,m
WHI,19850228,206000
WHI,19850301,m
WHI,19850302,m
WHI,19850303,m
WHI,19850304,205200
WHI,19850305,m
WHI,19850306,m
WHI,19850307,m
WHI,19850308,m
WHI,19850309,m
WHI,19850310,m
WHI,19850311,205300
WHI,19850312,m
WHI,19850313,m
WHI,19850314,m
WHI,19850315,m
WHI,19850316,m
WHI,19850317,m
WHI,19850318,206100
WHI,19850319,m
WHI,19850320,m
WHI,19850321,m
WHI,19850322,m
WHI,19850323,m
WHI,19850324,m
WHI,19850325,206200
WHI,19850326,m
WHI,19850327,m
WHI,19850328,m
WHI,19850329,m
WHI,19850330,m
WHI,19850331,m
WHI,19850401,205800
WHI,19850402,m
WHI,19850403,m
WHI,19850404,m
WHI,19850405,m
WHI,19850406,m
WHI,19850407,m
WHI,19850408,210200
WHI,19850409,m
WHI,19850410,m
WHI,19850411,m
WHI,19850412,m
WHI,19850413,m
WHI,19850414,m
WHI,19850415,216200
WHI,19850416,m
WHI,19850417,m
WHI,19850418,m
WHI,19850419,m
WHI,19850420,m
WHI,19850421,m
WHI,19850422,223300
WHI,19850423,m
WHI,19850424,m
WHI,19850425,m
WHI,19850426,m
WHI,19850427,m
WHI,19850428,m
WHI,19850429,232200
WHI,19850430,m
WHI,19850501,m
WHI,19850502,m
WHI,19850503,m
WHI,19850504,m
WHI,19850505,m
WHI,19850506,238000
WHI,19850507,m
WHI,19850508,m
WHI,19850509,m
WHI,19850510,m
WHI,19850511,m
WHI,19850512,m
WHI,19850513,238800
WHI,19850514,m
WHI,19850515,m
WHI,19850516,m
WHI,19850517,m
WHI,19850518,m
WHI,19850519,m
WHI,19850520,238300
WHI,19850521,m
WHI,19850522,m
WHI,19850523,m
WHI,19850524,m
WHI,19850525,m
WHI,19850526,m
WHI,19850527,238200
WHI,19850528,m
WHI,19850529,m
WHI,19850530,m
WHI,19850531,m
WHI,19850601,m
WHI,19850602,m
WHI,19850603,238400
WHI,19850604,m
WHI,19850605,m
WHI,19850606,m
WHI,19850607,m
WHI,19850608,m
WHI,19850609,m
WHI,19850610,238100
WHI,19850611,m
WHI,19850612,m
WHI,19850613,m
WHI,19850614,m
WHI,19850615,m
WHI,19850616,m
WHI,19850617,237500
WHI,19850618,m
WHI,19850619,m
WHI,19850620,m
WHI,19850621,m
WHI,19850622,m
WHI,19850623,m
WHI,19850624,237900
WHI,19850625,m
WHI,19850626,m
WHI,19850627,m
WHI,19850628,m
WHI,19850629,m
WHI,19850630,m
WHI,19850701,238800
WHI,19850702,m
WHI,19850703,m
WHI,19850704,m
WHI,19850705,m
WHI,19850706,m
WHI,19850707,m
WHI,19850708,238200
WHI,19850709,m
WHI,19850710,m
WHI,19850711,m
WHI,19850712,m
WHI,19850713,m
WHI,19850714,m
WHI,19850715,238200
WHI,19850716,m
WHI,19850717,m
WHI,19850718,0
WHI,19850719,m
WHI,19850720,m
WHI,19850721,m
WHI,19850722,238300
WHI,19850723,238500
WHI,19850724,238700
WHI,19850725,238500
WHI,19850726,m
WHI,19850727,m
WHI,19850728,m
WHI,19850729,238000
WHI,19850730,238000
WHI,19850731,238200
WHI,19850801,m
WHI,19850802,m
WHI,19850803,m
WHI,19850804,m
WHI,19850805,237900
WHI,19850806,237900
WHI,19850807,m
WHI,19850808,m
WHI,19850809,m
WHI,19850810,m
WHI,19850811,m
WHI,19850812,237400
WHI,19850813,m
WHI,19850814,m
WHI,19850815,237400
WHI,19850816,m
WHI,19850817,m
WHI,19850818,238700
WHI,19850819,238600
WHI,19850820,238700
WHI,19850821,238800
WHI,19850822,293120
WHI,19850823,m
WHI,19850824,m
WHI,19850825,m
WHI,19850826,239300
WHI,19850827,m
WHI,19850828,m
WHI,19850829,238200
WHI,19850830,m
WHI,19850831,m
WHI,19850901,m
WHI,19850902,238300
WHI,19850903,m
WHI,19850904,m
WHI,19850905,m
WHI,19850906,m
WHI,19850907,m
WHI,19850908,m
WHI,19850909,238500
WHI,19850910,m
WHI,19850911,m
WHI,19850912,m
WHI,19850913,m
WHI,19850914,m
WHI,19850915,m
WHI,19850916,234800
WHI,19850917,m
WHI,19850918,m
WHI,19850919,m
WHI,19850920,m
WHI,19850921,m
WHI,19850922,m
WHI,19850923,234200
WHI,19850924,m
WHI,19850925,m
WHI,19850926,m
WHI,19850927,m
WHI,19850928,m
WHI,19850929,m
WHI,19850930,224800
WHI,19851001,m
WHI,19851002,m
WHI,19851003,m
WHI,19851004,m
WHI,19851005,m
WHI,19851006,m
WHI,19851007,234800
WHI,19851008,m
WHI,19851009,m
WHI,19851010,m
WHI,19851011,m
WHI,19851012,m
WHI,19851013,m
WHI,19851014,233700
WHI,19851015,m
WHI,19851016,m
WHI,19851017,m
WHI,19851018,m
WHI,19851019,m
WHI,19851020,m
WHI,19851021,229500
WHI,19851022,m
WHI,19851023,m
WHI,19851024,m
WHI,19851025,m
WHI,19851026,m
WHI,19851027,m
WHI,19851028,223900
WHI,19851029,m
WHI,19851030,m
WHI,19851031,m
WHI,19851101,m
WHI,19851102,m
WHI,19851103,m
WHI,19851104,216000
WHI,19851105,m
WHI,19851106,m
WHI,19851107,m
WHI,19851108,m
WHI,19851109,m
WHI,19851110,m
WHI,19851111,207900
WHI,19851112,m
WHI,19851113,m
WHI,19851114,m
WHI,19851115,m
WHI,19851116,m
WHI,19851117,m
WHI,19851118,205600
WHI,19851119,m
WHI,19851120,m
WHI,19851121,m
WHI,19851122,m
WHI,19851123,m
WHI,19851124,m
WHI,19851125,206400
WHI,19851126,m
WHI,19851127,m
WHI,19851128,m
WHI,19851129,m
WHI,19851130,m
WHI,19851201,m
WHI,19851202,208100
WHI,19851203,m
WHI,19851204,m
WHI,19851205,m
WHI,19851206,m
WHI,19851207,m
WHI,19851208,m
WHI,19851209,205000
WHI,19851210,m
WHI,19851211,m
WHI,19851212,m
WHI,19851213,m
WHI,19851214,m
WHI,19851215,m
WHI,19851216,206400
WHI,19851217,m
WHI,19851218,m
WHI,19851219,205000
WHI,19851220,m
WHI,19851221,m
WHI,19851222,m
WHI,19851223,204700
WHI,19851224,m
WHI,19851225,m
WHI,19851226,m
WHI,19851227,m
WHI,19851228,m
WHI,19851229,205000
WHI,19851230,205400
WHI,19851231,m
WHI,19860101,m
WHI,19860102,m
WHI,19860103,m
WHI,19860104,m
