ID,Date,Reservoir_Storage(AF)
WRS,19880809,162448
WRS,19880810,162368
WRS,19880811,161928
WRS,19880812,161589
WRS,19880813,161509
WRS,19880814,161509
WRS,19880815,160932
WRS,19880816,160733
WRS,19880817,160475
WRS,19880818,160237
WRS,19880819,159840
WRS,19880820,159722
WRS,19880821,159326
WRS,19880822,158991
WRS,19880823,158833
WRS,19880824,158695
WRS,19880825,158419
WRS,19880826,158026
WRS,19880827,157869
WRS,19880828,157869
WRS,19880829,157065
WRS,19880830,156655
WRS,19880831,156342
WRS,19880901,156050
WRS,19880902,155802
WRS,19880903,155563
WRS,19880904,155291
WRS,19880905,155020
WRS,19880906,154632
WRS,19880907,154361
WRS,19880908,154033
WRS,19880909,153762
WRS,19880910,153493
WRS,19880911,153281
WRS,19880912,152915
WRS,19880913,152627
WRS,19880914,152474
WRS,19880915,152014
WRS,19880916,151803
WRS,19880917,151536
WRS,19880918,151230
WRS,19880919,150887
WRS,19880920,150583
WRS,19880921,150412
WRS,19880922,149937
WRS,19880923,149747
WRS,19880924,149407
WRS,19880925,149180
WRS,19880926,149047
WRS,19880927,149047
WRS,19880928,m
WRS,19880929,148331
WRS,19880930,148067
WRS,19881001,147729
WRS,19881002,147654
WRS,19881003,147335
WRS,19881004,147204
WRS,19881005,146792
WRS,19881006,146531
WRS,19881007,146325
WRS,19881008,146176
WRS,19881009,145897
WRS,19881010,145692
WRS,19881011,145432
WRS,19881012,145320
WRS,19881013,145320
WRS,19881014,m
WRS,19881015,m
WRS,19881016,m
WRS,19881017,m
WRS,19881018,m
WRS,19881019,m
WRS,19881020,m
WRS,19881021,m
WRS,19881022,m
WRS,19881023,m
WRS,19881024,142608
WRS,19881025,142406
WRS,19881026,142168
WRS,19881027,141948
WRS,19881028,141766
WRS,19881029,141583
WRS,19881030,141383
WRS,19881031,141200
WRS,19881101,140927
WRS,19881102,140745
WRS,19881103,140618
WRS,19881104,140400
WRS,19881105,140146
WRS,19881106,139875
WRS,19881107,139585
