ID,Date,Reservoir_Storage(AF)
WSN,19980901,m
WSN,19980902,m
WSN,19980903,m
WSN,19980904,m
WSN,19980905,m
WSN,19980906,m
WSN,19980907,m
WSN,19980908,m
WSN,19980909,m
WSN,19980910,m
WSN,19980911,m
WSN,19980912,m
WSN,19980913,m
WSN,19980914,m
WSN,19980915,m
WSN,19980916,m
WSN,19980917,m
WSN,19980918,m
WSN,19980919,m
WSN,19980920,m
WSN,19980921,m
WSN,19980922,m
WSN,19980923,m
WSN,19980924,m
WSN,19980925,m
WSN,19980926,m
WSN,19980927,m
WSN,19980928,m
WSN,19980929,m
WSN,19980930,m
WSN,19981001,m
WSN,19981002,m
WSN,19981003,m
WSN,19981004,m
WSN,19981005,m
WSN,19981006,m
WSN,19981007,m
WSN,19981008,m
WSN,19981009,m
WSN,19981010,m
WSN,19981011,m
WSN,19981012,m
WSN,19981013,m
WSN,19981014,m
WSN,19981015,m
WSN,19981016,m
WSN,19981017,m
WSN,19981018,m
WSN,19981019,m
WSN,19981020,m
WSN,19981021,m
WSN,19981022,m
WSN,19981023,m
WSN,19981024,m
WSN,19981025,m
WSN,19981026,m
WSN,19981027,m
WSN,19981028,m
WSN,19981029,m
WSN,19981030,m
WSN,19981031,m
WSN,19981101,m
WSN,19981102,m
WSN,19981103,m
WSN,19981104,m
WSN,19981105,m
WSN,19981106,m
WSN,19981107,m
WSN,19981108,m
WSN,19981109,m
WSN,19981110,m
WSN,19981111,m
WSN,19981112,m
WSN,19981113,m
WSN,19981114,m
WSN,19981115,m
WSN,19981116,m
WSN,19981117,m
WSN,19981118,m
WSN,19981119,m
WSN,19981120,m
WSN,19981121,m
WSN,19981122,m
WSN,19981123,m
WSN,19981124,m
WSN,19981125,m
WSN,19981126,m
WSN,19981127,m
WSN,19981128,m
WSN,19981129,m
WSN,19981130,m
WSN,19981201,m
WSN,19981202,m
WSN,19981203,m
WSN,19981204,m
WSN,19981205,m
WSN,19981206,m
WSN,19981207,m
WSN,19981208,m
WSN,19981209,m
WSN,19981210,m
WSN,19981211,m
WSN,19981212,m
WSN,19981213,m
WSN,19981214,m
WSN,19981215,m
WSN,19981216,m
WSN,19981217,m
WSN,19981218,m
WSN,19981219,m
WSN,19981220,m
WSN,19981221,m
WSN,19981222,m
WSN,19981223,m
WSN,19981224,m
WSN,19981225,m
WSN,19981226,m
WSN,19981227,m
WSN,19981228,m
WSN,19981229,m
WSN,19981230,m
WSN,19981231,m
WSN,19990101,m
WSN,19990102,m
WSN,19990103,m
WSN,19990104,m
WSN,19990105,m
WSN,19990106,m
WSN,19990107,m
WSN,19990108,m
WSN,19990109,m
WSN,19990110,m
WSN,19990111,m
WSN,19990112,m
WSN,19990113,m
WSN,19990114,m
WSN,19990115,m
WSN,19990116,m
WSN,19990117,m
WSN,19990118,m
WSN,19990119,m
WSN,19990120,m
WSN,19990121,m
WSN,19990122,m
WSN,19990123,m
WSN,19990124,m
WSN,19990125,m
WSN,19990126,m
WSN,19990127,m
WSN,19990128,m
WSN,19990129,m
WSN,19990130,m
WSN,19990131,m
WSN,19990201,m
WSN,19990202,m
WSN,19990203,m
WSN,19990204,m
WSN,19990205,m
WSN,19990206,m
WSN,19990207,m
WSN,19990208,m
WSN,19990209,m
WSN,19990210,m
WSN,19990211,m
WSN,19990212,m
WSN,19990213,m
WSN,19990214,m
WSN,19990215,m
WSN,19990216,m
WSN,19990217,m
WSN,19990218,m
WSN,19990219,m
WSN,19990220,m
WSN,19990221,m
WSN,19990222,m
WSN,19990223,m
WSN,19990224,m
WSN,19990225,m
WSN,19990226,m
WSN,19990227,m
WSN,19990228,m
WSN,19990301,m
WSN,19990302,m
WSN,19990303,m
WSN,19990304,m
WSN,19990305,m
WSN,19990306,m
WSN,19990307,m
WSN,19990308,m
WSN,19990309,m
WSN,19990310,m
WSN,19990311,m
WSN,19990312,m
WSN,19990313,m
WSN,19990314,m
WSN,19990315,m
WSN,19990316,m
WSN,19990317,m
WSN,19990318,m
WSN,19990319,m
WSN,19990320,m
WSN,19990321,m
WSN,19990322,m
WSN,19990323,m
WSN,19990324,m
WSN,19990325,m
WSN,19990326,m
WSN,19990327,m
WSN,19990328,m
WSN,19990329,m
WSN,19990330,m
WSN,19990331,m
WSN,19990401,m
WSN,19990402,m
WSN,19990403,m
WSN,19990404,m
WSN,19990405,m
WSN,19990406,m
WSN,19990407,m
WSN,19990408,m
WSN,19990409,m
WSN,19990410,m
WSN,19990411,m
WSN,19990412,m
WSN,19990413,m
WSN,19990414,m
WSN,19990415,m
WSN,19990416,m
WSN,19990417,m
WSN,19990418,m
WSN,19990419,m
WSN,19990420,m
WSN,19990421,m
WSN,19990422,m
WSN,19990423,m
WSN,19990424,m
WSN,19990425,m
WSN,19990426,m
WSN,19990427,m
WSN,19990428,m
WSN,19990429,m
WSN,19990430,m
WSN,19990501,m
WSN,19990502,m
WSN,19990503,m
WSN,19990504,m
WSN,19990505,m
WSN,19990506,m
WSN,19990507,m
WSN,19990508,m
WSN,19990509,m
WSN,19990510,m
WSN,19990511,m
WSN,19990512,m
WSN,19990513,m
WSN,19990514,m
WSN,19990515,m
WSN,19990516,m
WSN,19990517,m
WSN,19990518,m
WSN,19990519,m
WSN,19990520,m
WSN,19990521,m
WSN,19990522,m
WSN,19990523,m
WSN,19990524,m
WSN,19990525,m
WSN,19990526,m
WSN,19990527,m
WSN,19990528,m
WSN,19990529,m
WSN,19990530,m
WSN,19990531,m
WSN,19990601,m
WSN,19990602,m
WSN,19990603,m
WSN,19990604,m
WSN,19990605,m
WSN,19990606,m
WSN,19990607,m
WSN,19990608,m
WSN,19990609,m
WSN,19990610,m
WSN,19990611,m
WSN,19990612,m
WSN,19990613,m
WSN,19990614,m
WSN,19990615,m
WSN,19990616,m
WSN,19990617,m
WSN,19990618,m
WSN,19990619,m
WSN,19990620,m
WSN,19990621,m
WSN,19990622,m
WSN,19990623,m
WSN,19990624,m
WSN,19990625,m
WSN,19990626,m
WSN,19990627,m
WSN,19990628,m
WSN,19990629,m
WSN,19990630,m
WSN,19990701,m
WSN,19990702,m
WSN,19990703,m
WSN,19990704,m
WSN,19990705,m
WSN,19990706,m
WSN,19990707,m
WSN,19990708,m
WSN,19990709,m
WSN,19990710,m
WSN,19990711,m
WSN,19990712,m
WSN,19990713,m
WSN,19990714,m
WSN,19990715,m
WSN,19990716,m
WSN,19990717,m
WSN,19990718,m
WSN,19990719,m
WSN,19990720,m
WSN,19990721,m
WSN,19990722,m
WSN,19990723,m
WSN,19990724,m
WSN,19990725,m
WSN,19990726,m
WSN,19990727,m
WSN,19990728,m
WSN,19990729,m
WSN,19990730,m
WSN,19990731,m
WSN,19990801,m
WSN,19990802,m
WSN,19990803,m
WSN,19990804,m
WSN,19990805,m
WSN,19990806,m
WSN,19990807,m
WSN,19990808,m
WSN,19990809,m
WSN,19990810,m
WSN,19990811,m
WSN,19990812,m
WSN,19990813,m
WSN,19990814,m
WSN,19990815,m
WSN,19990816,m
WSN,19990817,m
WSN,19990818,m
WSN,19990819,m
WSN,19990820,m
WSN,19990821,m
WSN,19990822,m
WSN,19990823,m
WSN,19990824,m
WSN,19990825,m
WSN,19990826,m
WSN,19990827,m
WSN,19990828,m
WSN,19990829,m
WSN,19990830,m
WSN,19990831,m
WSN,19990901,m
WSN,19990902,m
WSN,19990903,m
WSN,19990904,m
WSN,19990905,m
WSN,19990906,m
WSN,19990907,m
WSN,19990908,m
WSN,19990909,m
WSN,19990910,m
WSN,19990911,m
WSN,19990912,m
WSN,19990913,m
WSN,19990914,m
WSN,19990915,m
WSN,19990916,m
WSN,19990917,m
WSN,19990918,m
WSN,19990919,m
WSN,19990920,m
WSN,19990921,m
WSN,19990922,m
WSN,19990923,m
WSN,19990924,m
WSN,19990925,m
WSN,19990926,m
