County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Los Angeles County,37,Los Angeles,USGS,334445118125301,GW,2010-03-17,09:30,PDT,30.35,NULL,NULL,NULL,USGS,m,2,S,V,A,33.7460972,-118.214925
Los Angeles County,37,Los Angeles,USGS,334445118125302,GW,2010-03-17,09:32,PDT,7.97,NULL,NULL,NULL,USGS,m,2,S,V,A,33.7460972,-118.214925
Los Angeles County,37,Los Angeles,USGS,334615118131001,GW,2010-03-17,09:55,PDT,46.07,NULL,NULL,NULL,USGS,m,2,S,V,A,33.77093889,-118.2205222
Los Angeles County,37,Los Angeles,USGS,334615118131002,GW,2010-03-17,09:58,PDT,26.83,NULL,NULL,NULL,USGS,m,2,S,V,A,33.77093889,-118.2205222
Los Angeles County,37,Los Angeles,USGS,334747118132301,GW,2010-03-17,10:40,PDT,52.14,NULL,NULL,NULL,USGS,m,2,S,V,A,33.79641944,-118.2232639
Los Angeles County,37,Los Angeles,USGS,334747118132301,GW,2010-07-21,11:40,PDT,52.25,NULL,NULL,NULL,USGS,m,2,S,V,A,33.79641944,-118.2232639
Los Angeles County,37,Los Angeles,USGS,334747118132302,GW,2010-03-17,10:45,PDT,61.66,NULL,NULL,NULL,USGS,m,2,S,V,A,33.79641944,-118.2232639
Los Angeles County,37,Los Angeles,USGS,334747118132302,GW,2010-07-21,11:42,PDT,63.87,NULL,NULL,NULL,USGS,m,2,S,V,A,33.79641944,-118.2232639
Los Angeles County,37,Los Angeles,USGS,334747118132303,GW,2010-03-17,10:48,PDT,61.74,NULL,NULL,NULL,USGS,m,2,S,V,A,33.79641944,-118.2232639
Los Angeles County,37,Los Angeles,USGS,334747118132303,GW,2010-07-21,11:44,PDT,63.93,NULL,NULL,NULL,USGS,m,2,S,V,A,33.79641944,-118.2232639
