County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Mendocino County,45,Mendocino,USGS,385817123061801,GW,2010-07-29,16:15,PDT,23.4,NULL,NULL,R,USGS,m,2,S,V,A,38.9712875,-123.1061137
Mendocino County,45,Mendocino,USGS,385852123420501,GW,2010-07-28,08:15,PDT,34.69,NULL,NULL,NULL,USGS,m,2,S,V,A,38.98113889,-123.7032222
Mendocino County,45,Mendocino,USGS,390048123222701,GW,2010-08-04,09:55,PDT,52.83,NULL,NULL,NULL,USGS,m,2,S,V,A,39.01341667,-123.3743889
Mendocino County,45,Mendocino,USGS,390329123083301,GW,2010-07-29,15:35,PDT,18.91,NULL,NULL,R,USGS,m,2,S,V,A,39.0579511,-123.1436147
Mendocino County,45,Mendocino,USGS,390425123091001,GW,2010-07-29,17:10,PDT,21.71,NULL,NULL,NULL,USGS,m,2,S,V,A,39.0735062,-123.1538927
Mendocino County,45,Mendocino,USGS,390717123093101,GW,2010-07-29,13:45,PDT,9.43,NULL,NULL,NULL,USGS,m,2,S,V,A,39.1213333,-123.1585833
Mendocino County,45,Mendocino,USGS,390909123111701,GW,2010-07-29,12:55,PDT,17.4,NULL,NULL,NULL,USGS,m,2,S,V,A,39.15239286,-123.1891714
Mendocino County,45,Mendocino,USGS,391451123114501,GW,2010-08-03,10:50,PDT,120.81,NULL,NULL,NULL,USGS,m,2,S,V,A,39.2473899,-123.1969492
Mendocino County,45,Mendocino,USGS,391544123133601,GW,2010-08-03,09:20,PDT,72.38,NULL,NULL,NULL,USGS,m,2,S,V,A,39.26202778,-123.2284444
Mendocino County,45,Mendocino,USGS,391717123114601,GW,2010-08-03,10:00,PDT,18.51,NULL,NULL,NULL,USGS,m,2,S,V,A,39.28816667,-123.1962222
Mendocino County,45,Mendocino,USGS,391757123473101,GW,2010-07-29,10:00,PDT,20.6,NULL,NULL,S,USGS,m,2,S,V,A,39.29930556,-123.792
Mendocino County,45,Mendocino,USGS,391943123070001,GW,2010-08-11,08:40,PDT,5.3,NULL,NULL,NULL,USGS,m,2,S,V,A,39.3288333,-123.1168056
Mendocino County,45,Mendocino,USGS,392830123474501,GW,2010-07-29,16:30,PDT,2.82,NULL,NULL,NULL,USGS,m,2,S,V,A,39.47488829,-123.79696
Mendocino County,45,Mendocino,USGS,394855123144801,GW,2010-08-10,11:40,PDT,12.43,NULL,NULL,NULL,USGS,m,2,S,V,A,39.81515428,-123.2477914
