County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
San Diego County,73,San Diego,USGS,323242117062101,GW,2010-03-03,14:50,PST,49.1,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062101,GW,2010-07-06,14:15,PDT,37.82,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062101,GW,2010-07-09,14:15,PDT,37.82,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062101,GW,2010-09-22,15:00,PDT,33.13,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062102,GW,2010-03-03,14:55,PST,10.69,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062102,GW,2010-07-09,14:20,PDT,10.89,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062102,GW,2010-09-22,15:05,PDT,11.48,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062103,GW,2010-03-03,15:00,PST,7.09,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062103,GW,2010-07-09,14:25,PDT,7.13,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062103,GW,2010-09-22,15:10,PDT,7.14,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062104,GW,2010-03-03,15:05,PST,2.03,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062104,GW,2010-07-09,14:30,PDT,1.97,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062104,GW,2010-09-22,15:15,PDT,2.06,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062105,GW,2010-03-03,15:10,PST,5.49,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062105,GW,2010-07-09,14:35,PDT,6.14,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323242117062105,GW,2010-09-22,15:20,PDT,6.74,NULL,NULL,NULL,USGS,m,2,S,V,A,32.54507778,-117.1060972
San Diego County,73,San Diego,USGS,323302117062001,GW,2010-03-03,13:40,PST,5.42,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55056667,-117.1057583
San Diego County,73,San Diego,USGS,323302117062001,GW,2010-03-19,14:10,PDT,5.56,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55056667,-117.1057583
San Diego County,73,San Diego,USGS,323302117062001,GW,2010-05-06,14:30,PDT,6.12,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55056667,-117.1057583
San Diego County,73,San Diego,USGS,323302117062001,GW,2010-06-01,12:30,PDT,6.59,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55056667,-117.1057583
San Diego County,73,San Diego,USGS,323302117062001,GW,2010-07-09,14:30,PDT,7.06,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55056667,-117.1057583
San Diego County,73,San Diego,USGS,323302117062001,GW,2010-09-22,15:20,PDT,7.75,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55056667,-117.1057583
San Diego County,73,San Diego,USGS,323302117062001,GW,2010-11-19,13:40,PST,7.58,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55056667,-117.1057583
San Diego County,73,San Diego,USGS,323303117050202,GW,2010-03-04,09:50,PST,6.67,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55031389,-117.0838806
San Diego County,73,San Diego,USGS,323303117050202,GW,2010-03-19,14:30,PDT,7.27,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55031389,-117.0838806
San Diego County,73,San Diego,USGS,323303117050202,GW,2010-05-06,15:15,PDT,8.19,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55031389,-117.0838806
San Diego County,73,San Diego,USGS,323303117050202,GW,2010-06-01,14:03,PDT,8.75,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55031389,-117.0838806
San Diego County,73,San Diego,USGS,323303117050202,GW,2010-07-09,14:50,PDT,9.42,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55031389,-117.0838806
San Diego County,73,San Diego,USGS,323303117050202,GW,2010-09-22,15:30,PDT,10.31,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55031389,-117.0838806
San Diego County,73,San Diego,USGS,323303117050202,GW,2010-11-19,14:15,PST,9.76,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55031389,-117.0838806
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-01-05,12:05,PST,42.24,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-02-03,13:49,PST,41.81,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-03-11,14:00,PST,41.69,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-04-06,13:44,PDT,41.55,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-05-24,13:00,PDT,41.79,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-06-30,11:12,PDT,42.02,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-07-14,11:15,PDT,42.07,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-08-13,12:15,PDT,42.46,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-09-17,11:58,PDT,42.69,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-10-01,11:36,PDT,42.92,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033901,GW,2010-12-09,11:50,PST,43.09,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-01-05,12:10,PST,42.5,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-02-03,13:53,PST,42.04,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-03-11,14:03,PST,41.73,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-04-06,13:46,PDT,41.75,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-05-24,13:02,PDT,41.85,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-06-30,11:14,PDT,42.24,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-07-14,11:18,PDT,42.29,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-08-13,12:18,PDT,42.64,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-09-17,12:02,PDT,42.88,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
San Diego County,73,San Diego,USGS,323313117033902,GW,2010-10-01,11:42,PDT,43.1,NULL,NULL,NULL,USGS,m,2,S,V,A,32.55364444,-117.0616028
