County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Tulare County,107,Tulare,USGS,360302119202101,GW,2010-08-25,13:40,PDT,NULL,NULL,NULL,P,USGS,m,NULL,S,S,A,36.04938889,-119.3408056
Tulare County,107,Tulare,USGS,360310119201901,GW,2010-07-01,10:30,PDT,147.53,NULL,NULL,R,USGS,m,2,S,S,A,36.05311389,-119.3392722
Tulare County,107,Tulare,USGS,360633119114801,GW,2010-08-18,14:40,PDT,152.32,NULL,NULL,R,USGS,m,2,S,V,A,36.1093333,-119.196861
Tulare County,107,Tulare,USGS,360710119145301,GW,2010-07-01,11:45,PDT,179.95,NULL,NULL,R,USGS,m,2,S,T,A,36.11944444,-119.2480556
Tulare County,107,Tulare,USGS,361003119212501,GW,2010-08-18,13:45,PDT,100.94,NULL,NULL,NULL,USGS,m,2,S,S,A,36.1674514,-119.3578937
Tulare County,107,Tulare,USGS,361338119275501,GW,2010-06-22,10:11,PDT,110.28,NULL,NULL,NULL,USGS,m,2,S,S,A,36.22721944,-119.4660583
Tulare County,107,Tulare,USGS,361338119275501,GW,2010-08-18,13:15,PDT,104.39,NULL,NULL,R,USGS,m,2,S,V,A,36.22721944,-119.4660583
Tulare County,107,Tulare,USGS,361717119234201,GW,2010-06-22,10:05,PDT,123.08,NULL,NULL,NULL,USGS,m,2,S,S,A,36.28845,-119.3958056
Tulare County,107,Tulare,USGS,361717119234202,GW,2010-06-22,10:12,PDT,NULL,NULL,NULL,D,USGS,m,NULL,S,O,A,36.28845,-119.3958056
Tulare County,107,Tulare,USGS,361726119241101,GW,2010-06-22,08:39,PDT,115.85,NULL,NULL,R,USGS,m,2,S,V,A,36.2906611,-119.4036778
Tulare County,107,Tulare,USGS,362325119070501,GW,2010-08-18,10:18,PDT,16.3,NULL,NULL,NULL,USGS,m,2,S,S,A,36.39056667,-119.1190667
Tulare County,107,Tulare,USGS,362921119335901,GW,2010-07-07,09:20,PDT,37.01,NULL,NULL,NULL,USGS,m,2,S,S,A,36.4892222,-119.566361
Tulare County,107,Tulare,USGS,363029119202001,GW,2010-08-18,09:35,PDT,35.31,NULL,NULL,NULL,USGS,m,2,S,S,A,36.50800595,-119.3398403
