County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Alameda County,1,Alameda,USGS,374004122092102,GW,2011-01-26,13:39,PST,23.36,NULL,NULL,T,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092102,GW,2011-03-09,13:49,PST,23.12,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092102,GW,2011-04-27,14:19,PST,23.23,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092102,GW,2011-06-22,15:25,PST,22.59,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092102,GW,2011-07-27,14:22,PST,22.74,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092102,GW,2011-08-03,13:12,PST,22.47,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092102,GW,2011-09-14,12:20,PST,22.36,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092102,GW,2011-10-26,13:22,PST,22.26,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092102,GW,2011-12-14,13:10,PST,22.27,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092103,GW,2011-01-26,13:45,PST,12.01,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092103,GW,2011-03-09,13:55,PST,10.64,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092103,GW,2011-04-27,14:24,PST,10.49,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092103,GW,2011-06-22,15:30,PST,5.47,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092103,GW,2011-07-27,14:26,PST,5.56,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092103,GW,2011-08-03,13:18,PST,8.11,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092103,GW,2011-09-14,12:22,PST,10.48,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092103,GW,2011-10-26,13:25,PST,10.54,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092103,GW,2011-12-14,13:14,PST,9.82,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092104,GW,2011-01-26,13:48,PST,8.69,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092104,GW,2011-03-09,14:08,PST,7.76,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092104,GW,2011-04-27,14:30,PST,7.34,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092104,GW,2011-06-22,15:33,PST,4.36,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092104,GW,2011-07-27,14:12,PST,4.2,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092104,GW,2011-08-03,13:21,PST,5.19,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092104,GW,2011-09-14,12:34,PST,7.5,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092104,GW,2011-10-26,13:27,PST,7.74,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
Alameda County,1,Alameda,USGS,374004122092104,GW,2011-12-14,13:16,PST,7.5,NULL,NULL,NULL,USGS,m,2,S,V,A,37.66781944,-122.15585
