County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Kern County,29,Kern,USGS,344400118184501,GW,2011-03-31,15:15,PDT,192.58,NULL,NULL,NULL,USGS,m,2,S,V,A,34.89997575,-118.3134122
Kern County,29,Kern,USGS,344914118144101,GW,2011-03-15,11:50,PDT,176.6,NULL,NULL,NULL,USGS,m,2,S,V,A,34.82055556,-118.2458333
Kern County,29,Kern,USGS,344922117543301,GW,2011-03-22,12:14,PST,129.41,NULL,NULL,NULL,USGS,m,2,S,S,A,34.8227591,-117.8936775
Kern County,29,Kern,USGS,344922117543301,GW,2011-09-22,16:43,PST,133.69,NULL,NULL,NULL,USGS,m,2,S,S,A,34.8227591,-117.8936775
Kern County,29,Kern,USGS,344922117543302,GW,2011-03-22,12:25,PST,32.75,NULL,NULL,NULL,USGS,m,2,S,S,A,34.8227591,-117.8936775
Kern County,29,Kern,USGS,344922117543302,GW,2011-09-22,16:47,PST,33.03,NULL,NULL,NULL,USGS,m,2,S,S,A,34.8227591,-117.8936775
Kern County,29,Kern,USGS,344923117550301,GW,2011-03-22,08:50,PST,132.66,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82275887,-117.9192338
Kern County,29,Kern,USGS,344923117550301,GW,2011-09-23,10:29,PST,137.61,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82275887,-117.9192338
Kern County,29,Kern,USGS,344923117550302,GW,2011-03-22,09:08,PST,133.11,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82275887,-117.9192338
Kern County,29,Kern,USGS,344923117550302,GW,2011-09-23,10:43,PST,137.05,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82275887,-117.9192338
Kern County,29,Kern,USGS,344923117550303,GW,2011-03-22,09:17,PST,132.45,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82275887,-117.9192338
Kern County,29,Kern,USGS,344923117550303,GW,2011-09-23,10:34,PST,136.02,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82275887,-117.9192338
Kern County,29,Kern,USGS,344923117550305,GW,2011-03-22,08:57,PST,20.93,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82275887,-117.9192338
Kern County,29,Kern,USGS,344923117550305,GW,2011-09-23,10:48,PST,23.5,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82275887,-117.9192338
Kern County,29,Kern,USGS,344932117525401,GW,2011-03-22,14:21,PST,122.06,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82553609,-117.9659019
Kern County,29,Kern,USGS,344932117525401,GW,2011-09-22,10:19,PST,130.17,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82553609,-117.9659019
Kern County,29,Kern,USGS,344932117525402,GW,2011-03-22,13:53,PST,120.98,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82553687,-117.8825661
Kern County,29,Kern,USGS,344932117525402,GW,2011-09-22,10:32,PST,126.14,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82553687,-117.8825661
Kern County,29,Kern,USGS,344932117525403,GW,2011-03-22,13:59,PST,118.22,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82553687,-117.8825661
Kern County,29,Kern,USGS,344932117525403,GW,2011-09-22,10:26,PST,120.84,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82553687,-117.8825661
Kern County,29,Kern,USGS,344932117525404,GW,2011-03-22,14:06,PST,30.75,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82553687,-117.8825661
Kern County,29,Kern,USGS,344932117525404,GW,2011-09-22,10:37,PST,30.78,NULL,NULL,NULL,USGS,m,2,S,S,A,34.82553687,-117.8825661
Kern County,29,Kern,USGS,344954118172501,GW,2011-03-29,11:20,PDT,228.5,NULL,NULL,NULL,USGS,m,2,S,V,A,34.83166667,-118.2902778
Kern County,29,Kern,USGS,345001118264501,GW,2011-03-31,08:30,PDT,275.45,NULL,NULL,NULL,USGS,m,2,S,V,A,34.83358927,-118.4467493
Kern County,29,Kern,USGS,345016117532301,GW,2011-03-23,14:27,PST,107.77,NULL,NULL,NULL,USGS,m,2,S,S,A,34.8377585,-117.890622
Kern County,29,Kern,USGS,345016117532301,GW,2011-09-22,13:23,PST,108.98,NULL,NULL,NULL,USGS,m,2,S,S,A,34.8377585,-117.890622
Kern County,29,Kern,USGS,345016117532302,GW,2011-03-23,14:31,PST,77.74,NULL,NULL,NULL,USGS,m,2,S,S,A,34.8377585,-117.890622
Kern County,29,Kern,USGS,345016117532302,GW,2011-09-22,13:44,PST,78.34,NULL,NULL,NULL,USGS,m,2,S,S,A,34.8377585,-117.890622
Kern County,29,Kern,USGS,345024117553801,GW,2011-09-23,13:57,PST,123.03,NULL,NULL,NULL,USGS,m,2,S,S,A,34.83998027,-117.928123
Kern County,29,Kern,USGS,345024117553802,GW,2011-09-23,14:00,PST,124.21,NULL,NULL,NULL,USGS,m,2,S,S,A,34.83998027,-117.928123
Kern County,29,Kern,USGS,345024117553803,GW,2011-09-23,16:04,PST,122.2,NULL,NULL,NULL,USGS,m,2,S,S,A,34.83998027,-117.928123
Kern County,29,Kern,USGS,345051117485001,GW,2011-03-23,06:50,PDT,105.3,NULL,NULL,NULL,USGS,m,2,S,V,A,34.847481,-117.8142309
Kern County,29,Kern,USGS,345051117485001,GW,2011-09-24,09:21,PST,105.46,NULL,NULL,NULL,USGS,m,2,S,V,A,34.847481,-117.8142309
Kern County,29,Kern,USGS,345052117560201,GW,2011-09-23,13:42,PST,124.68,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84775766,-117.93479
Kern County,29,Kern,USGS,345052117560202,GW,2011-09-23,13:45,PST,132.86,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84775766,-117.9339566
Kern County,29,Kern,USGS,345056117501401,GW,2011-03-23,08:10,PST,100.63,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84886964,-117.8381205
Kern County,29,Kern,USGS,345056117501401,GW,2011-09-24,08:35,PST,102.57,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84886964,-117.8381205
Kern County,29,Kern,USGS,345056117501402,GW,2011-03-23,08:18,PST,99.87,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84886964,-117.8381205
Kern County,29,Kern,USGS,345056117501402,GW,2011-09-24,08:38,PST,101.56,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84886964,-117.8381205
Kern County,29,Kern,USGS,345056117501403,GW,2011-03-23,08:23,PST,98.08,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84886964,-117.8381205
Kern County,29,Kern,USGS,345056117501403,GW,2011-09-24,08:42,PST,99.07,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84886964,-117.8381205
Kern County,29,Kern,USGS,345056117501404,GW,2011-03-23,08:26,PST,97.65,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84886964,-117.8381205
Kern County,29,Kern,USGS,345056117501404,GW,2011-09-24,08:52,PST,98.41,NULL,NULL,NULL,USGS,m,2,S,S,A,34.84886964,-117.8381205
Kern County,29,Kern,USGS,345056117501405,GW,2011-03-23,08:35,PST,NULL,NULL,NULL,D,USGS,m,NULL,S,S,A,34.84886964,-117.8381205
Kern County,29,Kern,USGS,345056117501405,GW,2011-09-24,08:56,PST,NULL,NULL,NULL,D,USGS,m,NULL,S,S,A,34.84886964,-117.8381205
