County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Merced County,47,Merced,USGS,370102120535901,GW,2011-01-24,10:49,PST,138.54,NULL,NULL,NULL,CA578,m,2,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-02-08,10:35,PST,143.34,NULL,NULL,NULL,CA578,m,2,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-03-15,12:05,PST,133.54,NULL,NULL,NULL,CA578,m,2,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-04-19,10:25,PST,132.5,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-05-20,09:50,PST,131.6,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-06-21,10:38,PST,128.8,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-07-27,11:12,PST,131.2,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-08-23,10:58,PST,131.3,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-09-14,10:50,PST,129.8,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-10-13,09:35,PST,128.7,NULL,NULL,NULL,CA578,m,1,S,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-11-16,09:50,PST,131.2,NULL,NULL,NULL,CA578,m,1,S,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535901,GW,2011-12-19,08:45,PST,128.7,NULL,NULL,NULL,CA578,m,1,S,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-01-24,11:01,PST,76.52,NULL,NULL,NULL,CA578,m,2,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-02-08,10:42,PST,65.62,NULL,NULL,NULL,CA578,m,2,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-03-15,12:18,PST,61.92,NULL,NULL,NULL,CA578,m,2,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-04-19,10:34,PST,63.1,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-05-20,10:00,PST,74.0,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-06-21,10:47,PST,68.9,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-07-27,11:24,PST,67.6,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-08-23,11:12,PST,70.8,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-09-14,10:58,PST,84.5,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-10-13,09:50,PST,82.7,NULL,NULL,NULL,CA578,m,1,S,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-11-16,09:58,PST,74.1,NULL,NULL,NULL,CA578,m,1,S,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535902,GW,2011-12-19,09:02,PST,63.7,NULL,NULL,NULL,CA578,m,1,S,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535903,GW,2011-01-24,11:12,PST,48.43,NULL,NULL,NULL,CA578,m,2,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535903,GW,2011-02-08,10:49,PST,55.03,NULL,NULL,NULL,CA578,m,2,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535903,GW,2011-03-15,12:30,PST,49.03,NULL,NULL,NULL,CA578,m,2,R,S,A,37.01728056,-120.8999278
Merced County,47,Merced,USGS,370102120535903,GW,2011-04-19,10:43,PST,49.8,NULL,NULL,NULL,CA578,m,1,R,S,A,37.01728056,-120.8999278
