County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
San Luis Obispo County,79,San Luis Obispo,USGS,345541120174101,GW,2011-03-10,15:55,PST,5.06,NULL,NULL,NULL,USGS,m,2,S,V,A,34.92813889,-120.294861
San Luis Obispo County,79,San Luis Obispo,USGS,345823120383901,GW,2011-11-18,09:30,PST,-10.5,NULL,NULL,NULL,USGS,m,2,S,H,A,34.97303238,-120.6451728
San Luis Obispo County,79,San Luis Obispo,USGS,345823120383903,GW,2011-11-18,09:35,PST,-8.4,NULL,NULL,NULL,USGS,m,2,S,H,A,34.97303238,-120.6451728
San Luis Obispo County,79,San Luis Obispo,USGS,345823120383904,GW,2011-11-18,09:41,PST,-8.77,NULL,NULL,NULL,USGS,m,2,S,H,A,34.97303238,-120.6451728
San Luis Obispo County,79,San Luis Obispo,USGS,345823120383907,GW,2011-11-18,09:50,PST,1.82,NULL,NULL,NULL,USGS,m,2,S,S,A,34.97303238,-120.6451728
San Luis Obispo County,79,San Luis Obispo,USGS,345823120383907,GW,2011-11-18,12:00,PST,1.82,NULL,NULL,NULL,USGS,D,2,S,S,A,34.97303238,-120.6451728
San Luis Obispo County,79,San Luis Obispo,USGS,345921120381601,GW,2011-11-17,09:15,PST,-5.68,NULL,NULL,NULL,USGS,m,2,S,H,A,34.9891432,-120.6387838
San Luis Obispo County,79,San Luis Obispo,USGS,345921120381602,GW,2011-11-17,09:25,PST,-2.17,NULL,NULL,NULL,USGS,m,2,S,S,A,34.9891432,-120.6387838
San Luis Obispo County,79,San Luis Obispo,USGS,345921120381603,GW,2011-11-17,09:30,PST,-2.42,NULL,NULL,NULL,USGS,m,2,S,S,A,34.9891432,-120.6387838
San Luis Obispo County,79,San Luis Obispo,USGS,345921120381604,GW,2011-11-17,09:35,PST,-1.9,NULL,NULL,NULL,USGS,m,2,S,S,A,34.9891432,-120.6387838
San Luis Obispo County,79,San Luis Obispo,USGS,345928120335501,GW,2011-07-21,12:00,PST,53.0,NULL,NULL,NULL,USGS,D,0,D,R,A,34.99113889,-120.5654444
San Luis Obispo County,79,San Luis Obispo,USGS,345928120335501,GW,2011-12-12,12:00,PST,44.71,NULL,NULL,NULL,USGS,D,2,S,V,A,34.99113889,-120.5654444
San Luis Obispo County,79,San Luis Obispo,USGS,345950120294501,GW,2011-01-15,12:00,PST,NULL,NULL,NULL,P,CA397,D,NULL,A,R,A,34.99719959,-120.4968333
San Luis Obispo County,79,San Luis Obispo,USGS,345950120294501,GW,2011-01-16,12:00,PST,75.86,NULL,NULL,R,CA397,D,2,A,R,A,34.99719959,-120.4968333
San Luis Obispo County,79,San Luis Obispo,USGS,345950120294501,GW,2011-04-01,11:47,PDT,76.02,NULL,NULL,NULL,CA397,m,2,A,S,A,34.99719959,-120.4968333
San Luis Obispo County,79,San Luis Obispo,USGS,345950120294501,GW,2011-07-03,11:00,PDT,76.84,NULL,NULL,NULL,USGS,m,2,R,V,A,34.99719959,-120.4968333
San Luis Obispo County,79,San Luis Obispo,USGS,345950120294501,GW,2011-07-03,11:02,PDT,NULL,NULL,NULL,P,USGS,m,NULL,R,O,A,34.99719959,-120.4968333
San Luis Obispo County,79,San Luis Obispo,USGS,345950120294501,GW,2011-07-03,11:05,PDT,NULL,NULL,NULL,P,USGS,m,NULL,R,O,A,34.99719959,-120.4968333
San Luis Obispo County,79,San Luis Obispo,USGS,345950120294501,GW,2011-07-03,12:00,PST,NULL,NULL,NULL,P,CA397,D,NULL,S,O,A,34.99719959,-120.4968333
San Luis Obispo County,79,San Luis Obispo,USGS,345950120294501,GW,2011-07-04,11:02,PDT,NULL,NULL,NULL,P,USGS,m,NULL,R,O,A,34.99719959,-120.4968333
