County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Siskiyou County,93,Siskiyou,USGS,414236121584601,GW,2011-01-11,10:50,PST,164.16,NULL,NULL,NULL,USGS,m,2,S,V,A,41.70987345,-121.9794224
Siskiyou County,93,Siskiyou,USGS,414236121584601,GW,2011-04-05,10:16,PDT,163.28,NULL,NULL,NULL,USGS,m,2,S,V,A,41.70987345,-121.9794224
Siskiyou County,93,Siskiyou,USGS,414236121584601,GW,2011-07-19,09:28,PDT,160.94,NULL,NULL,NULL,USGS,m,2,S,V,A,41.70987345,-121.9794224
Siskiyou County,93,Siskiyou,USGS,414236121584601,GW,2011-10-04,10:44,PDT,162.84,NULL,NULL,NULL,USGS,m,2,S,V,A,41.70987345,-121.9794224
Siskiyou County,93,Siskiyou,USGS,414300121302401,GW,2011-01-11,12:56,PST,673.71,NULL,NULL,NULL,USGS,m,2,S,V,A,41.7171916,-121.5075208
Siskiyou County,93,Siskiyou,USGS,414300121302401,GW,2011-04-05,12:29,PDT,673.75,NULL,NULL,NULL,USGS,m,2,S,V,A,41.7171916,-121.5075208
Siskiyou County,93,Siskiyou,USGS,414300121302401,GW,2011-07-14,15:43,PDT,674.02,NULL,NULL,NULL,USGS,m,2,S,V,A,41.7171916,-121.5075208
Siskiyou County,93,Siskiyou,USGS,414300121302401,GW,2011-10-04,13:14,PDT,673.94,NULL,NULL,NULL,USGS,m,2,S,V,A,41.7171916,-121.5075208
Siskiyou County,93,Siskiyou,USGS,414934121332101,GW,2011-01-11,12:14,PST,NULL,NULL,NULL,D,USGS,m,NULL,S,V,A,41.8258337,-121.5568077
Siskiyou County,93,Siskiyou,USGS,414934121332101,GW,2011-04-05,11:42,PDT,NULL,NULL,NULL,D,USGS,m,NULL,S,V,A,41.8258337,-121.5568077
Siskiyou County,93,Siskiyou,USGS,414934121332101,GW,2011-07-14,16:30,PDT,NULL,NULL,NULL,D,USGS,m,NULL,S,V,A,41.8258337,-121.5568077
Siskiyou County,93,Siskiyou,USGS,414934121332101,GW,2011-10-04,14:03,PDT,NULL,NULL,NULL,D,USGS,m,NULL,S,V,A,41.8258337,-121.5568077
Siskiyou County,93,Siskiyou,USGS,415312121403201,GW,2011-01-11,14:32,PST,126.6,NULL,NULL,NULL,USGS,m,2,S,V,A,41.8865499,-121.675549
Siskiyou County,93,Siskiyou,USGS,415312121403201,GW,2011-04-05,14:28,PDT,125.85,NULL,NULL,NULL,USGS,m,2,S,V,A,41.8865499,-121.675549
Siskiyou County,93,Siskiyou,USGS,415312121403201,GW,2011-07-19,11:23,PDT,202.38,NULL,NULL,NULL,USGS,m,2,S,V,A,41.8865499,-121.675549
Siskiyou County,93,Siskiyou,USGS,415312121403201,GW,2011-10-05,10:11,PDT,127.08,NULL,NULL,NULL,USGS,m,2,S,V,A,41.8865499,-121.675549
