County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Calaveras County,9,Calaveras,USGS,380738120555601,GW,2012-02-23,15:38,PST,129.65,NULL,NULL,NULL,USGS,m,2,S,V,A,38.12734444,-120.9322639
Calaveras County,9,Calaveras,USGS,380738120555601,GW,2012-02-23,17:35,PST,129.65,NULL,NULL,NULL,USGS,m,2,S,V,A,38.12734444,-120.9322639
Calaveras County,9,Calaveras,USGS,380738120555601,GW,2012-06-06,12:43,PDT,138.48,NULL,NULL,NULL,USGS,m,2,S,V,A,38.12734444,-120.9322639
Calaveras County,9,Calaveras,USGS,380738120555602,GW,2012-02-23,15:47,PST,126.97,NULL,NULL,NULL,USGS,m,2,S,V,A,38.12734444,-120.9322639
Calaveras County,9,Calaveras,USGS,380738120555602,GW,2012-02-23,17:38,PST,127.01,NULL,NULL,NULL,USGS,m,2,S,V,A,38.12734444,-120.9322639
Calaveras County,9,Calaveras,USGS,380738120555602,GW,2012-06-06,12:51,PDT,134.62,NULL,NULL,NULL,USGS,m,2,S,V,A,38.12734444,-120.9322639
Calaveras County,9,Calaveras,USGS,380738120555603,GW,2012-02-23,15:53,PST,122.65,NULL,NULL,NULL,USGS,m,2,S,V,A,38.12734444,-120.9322639
Calaveras County,9,Calaveras,USGS,380738120555603,GW,2012-02-23,17:41,PST,122.64,NULL,NULL,NULL,USGS,m,2,S,V,A,38.12734444,-120.9322639
Calaveras County,9,Calaveras,USGS,380738120555603,GW,2012-06-06,12:57,PDT,123.88,NULL,NULL,NULL,USGS,m,2,S,V,A,38.12734444,-120.9322639
Calaveras County,9,Calaveras,USGS,380946120554401,GW,2012-02-23,12:17,PST,122.9,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554401,GW,2012-02-23,15:03,PST,122.86,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554401,GW,2012-06-06,09:26,PDT,123.27,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554401,GW,2012-06-06,11:09,PDT,123.31,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554401,GW,2012-10-25,09:54,PDT,133.3,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554402,GW,2012-02-23,12:24,PST,130.67,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554402,GW,2012-02-23,15:05,PST,130.65,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554402,GW,2012-06-06,09:34,PDT,130.74,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554402,GW,2012-06-06,11:12,PDT,130.74,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554402,GW,2012-10-25,10:05,PDT,132.92,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554403,GW,2012-02-23,12:34,PST,71.88,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554403,GW,2012-02-23,15:11,PST,71.85,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554403,GW,2012-06-06,09:42,PDT,71.47,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554403,GW,2012-06-06,11:14,PDT,71.47,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,380946120554403,GW,2012-10-25,10:17,PDT,72.64,NULL,NULL,NULL,USGS,m,2,S,V,A,38.16280278,-120.9290556
Calaveras County,9,Calaveras,USGS,381154120575701,GW,2012-02-23,11:24,PST,85.33,NULL,NULL,NULL,USGS,m,2,S,V,A,38.19852778,-120.966
