County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Mono County,51,Mono,USGS,373754118501701,GW,2012-01-31,15:56,PST,37.02,NULL,NULL,NULL,USGS,m,2,S,S,A,37.63160016,-118.8390193
Mono County,51,Mono,USGS,373754118501701,GW,2012-06-06,13:55,PDT,37.86,NULL,NULL,NULL,USGS,m,2,S,S,A,37.63160016,-118.8390193
Mono County,51,Mono,USGS,373754118501701,GW,2012-08-15,17:25,PDT,38.09,NULL,NULL,NULL,USGS,m,2,S,S,A,37.63160016,-118.8390193
Mono County,51,Mono,USGS,373754118501701,GW,2012-10-18,14:30,PDT,38.4,NULL,NULL,NULL,USGS,m,2,S,S,A,37.63160016,-118.8390193
Mono County,51,Mono,USGS,373930118491602,GW,2012-01-31,14:50,PST,75.9,NULL,NULL,NULL,USGS,m,2,S,V,A,37.65826627,-118.8220754
Mono County,51,Mono,USGS,373930118491602,GW,2012-06-06,13:55,PDT,76.09,NULL,NULL,NULL,USGS,m,2,S,V,A,37.65826627,-118.8220754
Mono County,51,Mono,USGS,373930118491602,GW,2012-08-15,16:49,PDT,76.29,NULL,NULL,NULL,USGS,m,2,S,V,A,37.65826627,-118.8220754
Mono County,51,Mono,USGS,373930118491602,GW,2012-10-18,13:22,PDT,76.32,NULL,NULL,NULL,USGS,m,2,S,V,A,37.65826627,-118.8220754
Mono County,51,Mono,USGS,381639119172001,GW,2012-04-03,13:05,PDT,22.05,NULL,NULL,NULL,USGS,m,2,S,T,A,38.27752778,-119.2889722
Mono County,51,Mono,USGS,381639119172001,GW,2012-11-15,12:50,PST,22.17,NULL,NULL,NULL,USGS,m,2,S,T,A,38.27752778,-119.2889722
Mono County,51,Mono,USGS,383051119282201,GW,2012-03-07,09:40,PST,61.99,NULL,NULL,NULL,USGS,m,2,S,T,A,38.51416667,-119.4727778
Mono County,51,Mono,USGS,383051119282201,GW,2012-11-09,11:25,PST,67.19,NULL,NULL,NULL,USGS,m,2,S,T,A,38.51416667,-119.4727778
