County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Monterey County,53,Monterey,USGS,360831121061901,GW,2012-11-07,11:05,PST,147.91,NULL,NULL,NULL,USGS,m,2,S,T,A,36.14202778,-121.1055278
Monterey County,53,Monterey,USGS,360856121122301,GW,2012-11-29,09:35,PST,76.73,NULL,NULL,NULL,USGS,m,2,S,V,A,36.14891667,-121.2063889
Monterey County,53,Monterey,USGS,362335121215301,GW,2012-11-26,12:28,PST,38.85,NULL,NULL,NULL,USGS,m,2,S,V,A,36.39319444,-121.3648333
Monterey County,53,Monterey,USGS,363308121283001,GW,2012-10-31,10:00,PST,107.25,NULL,NULL,NULL,USGS,m,2,S,S,A,36.5523611,-121.4750556
Monterey County,53,Monterey,USGS,363403121532701,GW,2012-12-11,09:30,PST,276.48,NULL,NULL,NULL,USGS,m,2,S,V,A,36.56769444,-121.8908889
Monterey County,53,Monterey,USGS,363437121481201,GW,2012-10-30,10:00,PST,219.66,NULL,NULL,NULL,USGS,m,2,S,S,A,36.57705556,-121.8033333
Monterey County,53,Monterey,USGS,363507121380601,GW,2012-10-29,09:35,PST,255.4,NULL,NULL,NULL,USGS,m,2,S,S,A,36.58538889,-121.6352222
Monterey County,53,Monterey,USGS,363951121420201,GW,2012-11-05,08:35,PST,43.36,NULL,NULL,NULL,USGS,m,2,S,V,A,36.66427778,-121.7008056
Monterey County,53,Monterey,USGS,363953121405001,GW,2012-10-30,14:05,PST,51.48,NULL,NULL,NULL,USGS,m,2,S,S,A,36.6647222,-121.6807222
Monterey County,53,Monterey,USGS,364117121411401,GW,2012-11-05,13:50,PST,53.43,NULL,NULL,NULL,USGS,m,2,S,V,A,36.6882222,-121.6872222
Monterey County,53,Monterey,USGS,364601121411901,GW,2012-11-05,10:24,PST,143.04,NULL,NULL,NULL,USGS,m,2,S,V,A,36.76694444,-121.6888056
