County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Napa County,55,Napa,USGS,381654122234801,GW,2012-06-20,08:30,PDT,183.26,NULL,NULL,NULL,USGS,m,2,S,V,A,38.28169444,-122.396861
Napa County,55,Napa,USGS,381917122172401,GW,2012-04-09,09:25,PDT,24.45,NULL,NULL,NULL,USGS,m,2,S,V,A,38.32152778,-122.2901389
Napa County,55,Napa,USGS,381951122175401,GW,2012-04-09,12:40,PDT,9.64,NULL,NULL,NULL,USGS,m,2,S,V,A,38.33091667,-122.2985556
Napa County,55,Napa,USGS,382025122233001,GW,2012-06-14,10:58,PDT,132.31,NULL,NULL,NULL,USGS,m,2,S,V,A,38.34044444,-122.3917222
Napa County,55,Napa,USGS,382338122210001,GW,2012-04-11,09:30,PDT,10.93,NULL,NULL,NULL,USGS,m,2,S,V,A,38.39413889,-122.3501944
Napa County,55,Napa,USGS,382505122175301,GW,2012-04-17,10:26,PDT,103.73,NULL,NULL,NULL,USGS,m,2,S,V,A,38.41805556,-122.2981389
Napa County,55,Napa,USGS,382808122241901,GW,2012-04-12,09:15,PDT,49.71,NULL,NULL,NULL,USGS,m,2,S,V,A,38.46888889,-122.4055278
Napa County,55,Napa,USGS,382834122232101,GW,2012-04-10,09:30,PDT,56.54,NULL,NULL,NULL,USGS,m,2,S,V,A,38.47616667,-122.389361
Napa County,55,Napa,USGS,383055122245601,GW,2012-04-11,12:30,PDT,7.3,NULL,NULL,NULL,USGS,m,2,S,V,A,38.51527778,-122.4155556
Napa County,55,Napa,USGS,383312122303201,GW,2012-08-21,11:06,PDT,42.83,NULL,NULL,NULL,USGS,m,2,S,V,A,38.55341667,-122.509
