County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Sacramento County,67,Sacramento,USGS,381731121183001,GW,2012-08-31,10:45,PDT,86.38,NULL,NULL,NULL,USGS,m,2,S,S,A,38.29185845,-121.3093933
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-01-07,08:02,PST,149.69,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-01-14,08:00,PST,149.89,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-01-22,08:20,PST,149.42,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-01-28,08:25,PST,149.35,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-02-04,08:25,PST,149.02,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-02-11,08:10,PST,148.83,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-02-18,08:20,PST,148.79,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-02-25,08:05,PST,148.84,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-03-03,07:40,PST,148.69,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-03-10,08:00,PST,148.58,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-03-18,07:45,PST,147.87,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-03-24,16:40,PST,148.1,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-04-03,07:25,PDT,148.03,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-04-09,08:05,PDT,148.21,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-04-14,07:45,PDT,147.88,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-04-21,07:20,PDT,147.87,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-04-28,06:55,PDT,147.88,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-05-05,08:10,PDT,148.19,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-05-12,07:25,PDT,148.79,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-05-26,07:45,PDT,149.49,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-06-02,07:05,PDT,149.81,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-06-09,08:25,PDT,150.44,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-06-16,07:15,PDT,151.02,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-06-25,20:30,PDT,151.73,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-06-30,07:15,PDT,152.12,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-07-07,16:45,PDT,152.43,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-07-14,07:20,PDT,153.23,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-07-21,08:10,PDT,153.35,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-07-28,07:55,PDT,153.17,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-08-11,07:10,PDT,154.36,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-08-18,08:55,PDT,154.89,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-08-25,07:35,PDT,155.0,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
Sacramento County,67,Sacramento,USGS,382444121123301,GW,2012-09-01,08:26,PDT,155.08,NULL,NULL,NULL,USGS,m,2,O,S,A,38.41213308,-121.2102249
