County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
San Joaquin County,77,San Joaquin,USGS,374438121130901,GW,2012-07-31,09:30,PDT,9.22,NULL,NULL,NULL,USGS,m,2,S,V,A,37.74416944,-121.2190806
San Joaquin County,77,San Joaquin,USGS,374438121130902,GW,2012-07-31,09:35,PDT,9.2,NULL,NULL,P,USGS,m,2,S,V,A,37.74416944,-121.2190806
San Joaquin County,77,San Joaquin,USGS,374511121104101,GW,2012-08-02,12:43,PDT,14.09,NULL,NULL,NULL,USGS,m,2,S,V,A,37.75301389,-121.1793833
San Joaquin County,77,San Joaquin,USGS,374524121084801,GW,2012-08-02,12:59,PDT,23.34,NULL,NULL,NULL,USGS,m,2,S,V,A,37.7596111,-121.1465722
San Joaquin County,77,San Joaquin,USGS,374635121040901,GW,2012-08-02,13:35,PDT,46.08,NULL,NULL,NULL,USGS,m,2,S,V,A,37.776875,-121.0700528
San Joaquin County,77,San Joaquin,USGS,374902121031101,GW,2012-06-29,19:15,PDT,64.48,NULL,NULL,NULL,USGS,m,2,S,V,A,37.8173611,-121.0532222
San Joaquin County,77,San Joaquin,USGS,374908121155901,GW,2012-02-07,14:35,PST,40.3,NULL,NULL,P,NULL,m,1,R,F,A,37.81894444,-121.2663889
San Joaquin County,77,San Joaquin,USGS,374909121110101,GW,2012-08-02,14:00,PDT,33.54,NULL,NULL,R,USGS,m,2,S,V,A,37.8189333,-121.1851139
San Joaquin County,77,San Joaquin,USGS,375052121142801,GW,2012-08-02,14:30,PDT,20.94,NULL,NULL,NULL,USGS,m,2,S,V,A,37.84790278,-121.2420444
San Joaquin County,77,San Joaquin,USGS,375349121160901,GW,2012-02-07,08:00,PST,29.86,NULL,NULL,A,USGS,m,2,S,V,A,37.897,-121.2693
San Joaquin County,77,San Joaquin,USGS,375349121160901,GW,2012-04-17,13:50,PDT,28.72,NULL,NULL,NULL,USGS,m,2,S,V,A,37.897,-121.2693
San Joaquin County,77,San Joaquin,USGS,375349121160902,GW,2012-02-06,11:35,PST,27.0,NULL,NULL,A,USGS,m,2,S,V,A,37.8971,-121.2694
San Joaquin County,77,San Joaquin,USGS,375349121160903,GW,2012-02-06,09:40,PST,24.37,NULL,NULL,A,USGS,m,2,S,V,A,37.8971,-121.2694
San Joaquin County,77,San Joaquin,USGS,375735121184901,GW,2012-04-18,08:36,PDT,20.2,NULL,NULL,NULL,USGS,m,1,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184901,GW,2012-04-18,12:00,PST,20.26,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184901,GW,2012-06-26,08:40,PST,22.12,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184901,GW,2012-10-26,10:03,PDT,22.81,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184902,GW,2012-01-31,08:16,PST,16.64,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184902,GW,2012-04-18,08:40,PDT,16.21,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184902,GW,2012-04-18,12:05,PST,16.23,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184902,GW,2012-06-26,08:45,PST,18.02,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184902,GW,2012-10-26,10:06,PDT,18.14,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184903,GW,2012-01-31,08:55,PST,11.91,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184903,GW,2012-04-18,08:43,PDT,11.25,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184903,GW,2012-04-18,12:10,PST,11.31,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184903,GW,2012-06-26,08:50,PST,13.98,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375735121184903,GW,2012-10-26,10:10,PDT,13.08,NULL,NULL,NULL,USGS,m,2,S,V,A,37.95993056,-121.31385
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-03-29,12:46,PDT,76.37,NULL,NULL,NULL,USGS,m,2,S,V,A,37.96813889,-121.203111
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-04-16,14:35,PDT,75.94,NULL,NULL,NULL,USGS,m,2,S,V,A,37.96813889,-121.203111
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-04-17,08:53,PDT,75.86,NULL,NULL,NULL,USGS,m,2,S,V,A,37.96813889,-121.203111
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-05-22,08:43,PDT,86.81,NULL,NULL,NULL,USGS,m,2,S,V,A,37.96813889,-121.203111
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-05-22,17:37,PDT,86.56,NULL,NULL,R,USGS,m,2,S,V,A,37.96813889,-121.203111
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-05-23,19:02,PDT,86.34,NULL,NULL,NULL,USGS,m,2,S,V,A,37.96813889,-121.203111
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-06-13,10:43,PDT,89.74,NULL,NULL,NULL,USGS,m,2,S,V,A,37.96813889,-121.203111
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-06-14,12:00,PST,90.0,NULL,NULL,NULL,USGS,D,2,S,V,A,37.96813889,-121.203111
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-06-23,12:55,PDT,92.25,NULL,NULL,NULL,USGS,m,2,S,V,A,37.96813889,-121.203111
San Joaquin County,77,San Joaquin,USGS,375805121121101,GW,2012-08-10,13:40,PDT,97.67,NULL,NULL,NULL,USGS,m,2,S,V,A,37.96813889,-121.203111
