County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Sonoma County,97,Sonoma,USGS,381433122290401,GW,2012-04-26,09:25,PDT,73.57,NULL,NULL,NULL,USGS,m,2,S,V,A,38.2425833,-122.4844722
Sonoma County,97,Sonoma,USGS,381624122275201,GW,2012-07-10,08:30,PDT,27.7,NULL,NULL,NULL,USGS,m,1,S,V,A,38.27352778,-122.4646389
Sonoma County,97,Sonoma,USGS,381951122302101,GW,2012-08-22,08:35,PDT,255.24,NULL,NULL,NULL,USGS,m,2,S,V,A,38.331,-122.5058889
Sonoma County,97,Sonoma,USGS,381952122291201,GW,2012-06-20,13:20,PDT,64.55,NULL,NULL,NULL,USGS,m,2,S,V,A,38.33113889,-122.4868889
Sonoma County,97,Sonoma,USGS,382302122455401,GW,2012-04-25,09:26,PDT,11.76,NULL,NULL,NULL,USGS,m,2,S,V,A,38.3841111,-122.7650278
Sonoma County,97,Sonoma,USGS,382305122480601,GW,2012-04-23,08:45,PDT,60.48,NULL,NULL,NULL,USGS,m,2,S,V,A,38.38491667,-122.801861
Sonoma County,97,Sonoma,USGS,382340122524601,GW,2012-04-23,12:20,PDT,31.97,NULL,NULL,NULL,USGS,m,2,S,V,A,38.3945833,-122.8794444
Sonoma County,97,Sonoma,USGS,382410122311501,GW,2012-06-21,08:40,PDT,229.24,NULL,NULL,NULL,USGS,m,2,S,V,A,38.4028333,-122.5208889
Sonoma County,97,Sonoma,USGS,382429122384601,GW,2012-07-31,13:22,PDT,71.18,NULL,NULL,NULL,USGS,m,2,S,V,A,38.40830556,-122.6461944
Sonoma County,97,Sonoma,USGS,382442122432101,GW,2012-06-19,13:00,PDT,15.69,NULL,NULL,NULL,USGS,m,2,S,V,A,38.4118333,-122.7227222
Sonoma County,97,Sonoma,USGS,382622122404601,GW,2012-06-13,09:25,PDT,21.81,NULL,NULL,NULL,USGS,m,2,S,V,A,38.43944444,-122.6794444
Sonoma County,97,Sonoma,USGS,382702122423701,GW,2012-07-13,09:09,PDT,17.02,NULL,NULL,NULL,USGS,m,2,S,V,A,38.4506111,-122.7103333
Sonoma County,97,Sonoma,USGS,382753122483201,GW,2012-06-11,08:30,PDT,29.07,NULL,NULL,NULL,USGS,m,2,S,V,A,38.4648611,-122.8090833
Sonoma County,97,Sonoma,USGS,382808122565401,GW,2012-06-19,09:30,PDT,11.81,NULL,NULL,NULL,USGS,m,2,S,V,A,38.46902778,-122.9483889
Sonoma County,97,Sonoma,USGS,382822122412101,GW,2012-06-13,12:41,PDT,34.2,NULL,NULL,NULL,USGS,m,2,S,V,A,38.4729722,-122.6891944
Sonoma County,97,Sonoma,USGS,383016123041101,GW,2012-07-23,12:24,PDT,16.88,NULL,NULL,NULL,USGS,m,2,S,V,A,38.50452778,-123.0697222
Sonoma County,97,Sonoma,USGS,383104122531301,GW,2012-08-22,14:45,PDT,16.12,NULL,NULL,NULL,USGS,m,2,S,V,A,38.518,-122.8869722
Sonoma County,97,Sonoma,USGS,383201122493001,GW,2012-08-22,09:16,PDT,20.14,NULL,NULL,NULL,USGS,m,2,S,V,A,38.53380556,-122.825
Sonoma County,97,Sonoma,USGS,383211122460001,GW,2012-07-25,10:06,PDT,37.62,NULL,NULL,NULL,USGS,m,2,S,V,A,38.5366111,-122.76675
Sonoma County,97,Sonoma,USGS,383323122432101,GW,2012-07-17,13:37,PDT,56.15,NULL,NULL,NULL,USGS,m,2,S,V,A,38.5566111,-122.72275
Sonoma County,97,Sonoma,USGS,383325122501301,GW,2012-06-11,12:50,PDT,72.55,NULL,NULL,NULL,USGS,m,2,S,V,A,38.557,-122.8370278
Sonoma County,97,Sonoma,USGS,383502122575101,GW,2012-08-01,13:40,PDT,122.51,NULL,NULL,NULL,USGS,m,2,S,V,A,38.58405556,-122.9642778
Sonoma County,97,Sonoma,USGS,383646122510901,GW,2012-07-18,10:30,PDT,17.81,NULL,NULL,NULL,USGS,m,2,S,V,A,38.6128333,-122.8526389
Sonoma County,97,Sonoma,USGS,383707122470201,GW,2012-06-12,09:30,PDT,21.7,NULL,NULL,NULL,USGS,m,2,S,V,A,38.61863889,-122.7840556
Sonoma County,97,Sonoma,USGS,383733122462801,GW,2012-08-23,13:32,PDT,82.3,NULL,NULL,NULL,USGS,m,2,S,V,A,38.6259722,-122.7745833
Sonoma County,97,Sonoma,USGS,383959122564901,GW,2012-08-01,12:11,PDT,87.72,NULL,NULL,NULL,USGS,m,2,S,V,A,38.6664722,-122.9471389
Sonoma County,97,Sonoma,USGS,384238122554301,GW,2012-08-02,10:25,PDT,70.37,NULL,NULL,NULL,USGS,m,2,S,V,A,38.71069444,-122.9286667
Sonoma County,97,Sonoma,USGS,384814123044001,GW,2012-07-25,14:47,PDT,41.45,NULL,NULL,NULL,USGS,m,2,S,V,A,38.804,-123.0777778
Sonoma County,97,Sonoma,USGS,384831122594701,GW,2012-07-26,09:09,PDT,17.53,NULL,NULL,NULL,USGS,m,2,S,V,A,38.8085176,-122.9974998
Sonoma County,97,Sonoma,USGS,385010122532501,GW,2012-08-21,10:28,PDT,57.53,NULL,NULL,NULL,USGS,m,2,S,V,A,38.83630556,-122.8902778
