County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Ventura County,111,Ventura,USGS,344154119184801,GW,2012-03-06,08:35,PST,27.51,NULL,NULL,NULL,CA042,m,2,A,V,A,34.69830556,-119.3134722
Ventura County,111,Ventura,USGS,344154119184801,GW,2012-05-10,11:45,PDT,36.1,NULL,NULL,P,CA042,m,2,A,V,A,34.69830556,-119.3134722
Ventura County,111,Ventura,USGS,344154119184801,GW,2012-05-10,11:45,PST,36.1,NULL,NULL,NULL,CA042,m,2,A,V,A,34.69830556,-119.3134722
Ventura County,111,Ventura,USGS,344154119184801,GW,2012-08-14,10:30,PDT,40.76,NULL,NULL,P,CA042,m,2,A,V,A,34.69830556,-119.3134722
Ventura County,111,Ventura,USGS,344154119184801,GW,2012-11-21,11:40,PST,34.2,NULL,NULL,NULL,CA042,m,2,A,V,A,34.69830556,-119.3134722
Ventura County,111,Ventura,USGS,344154119184801,GW,2012-11-22,12:00,PST,NULL,NULL,NULL,N,USGS,D,NULL,S,O,A,34.69830556,-119.3134722
Ventura County,111,Ventura,USGS,344729119233501,GW,2012-03-06,11:15,PST,272.11,NULL,NULL,NULL,CA042,m,2,A,V,A,34.7914722,-119.393111
Ventura County,111,Ventura,USGS,344729119233501,GW,2012-05-22,12:00,PST,272.55,NULL,NULL,NULL,CA042,D,2,A,V,A,34.7914722,-119.393111
Ventura County,111,Ventura,USGS,344729119233501,GW,2012-08-21,09:32,PDT,272.81,NULL,NULL,NULL,CA042,m,2,A,V,A,34.7914722,-119.393111
Ventura County,111,Ventura,USGS,344729119233501,GW,2012-11-29,12:18,PST,272.89,NULL,NULL,NULL,CA042,m,2,A,V,A,34.7914722,-119.393111
Ventura County,111,Ventura,USGS,344729119233501,GW,2012-11-30,12:00,PST,NULL,NULL,NULL,N,USGS,D,NULL,S,O,A,34.7914722,-119.393111
Ventura County,111,Ventura,USGS,344742119240201,GW,2012-03-06,10:45,PST,239.98,NULL,NULL,NULL,CA042,m,2,A,V,A,34.795,-119.4007222
Ventura County,111,Ventura,USGS,344742119240201,GW,2012-05-22,11:08,PST,240.09,NULL,NULL,NULL,CA042,m,2,A,V,A,34.795,-119.4007222
Ventura County,111,Ventura,USGS,344742119240201,GW,2012-08-21,09:45,PDT,239.92,NULL,NULL,NULL,CA042,m,2,A,V,A,34.795,-119.4007222
Ventura County,111,Ventura,USGS,344742119240201,GW,2012-11-29,11:54,PST,239.94,NULL,NULL,NULL,CA042,m,2,A,V,A,34.795,-119.4007222
Ventura County,111,Ventura,USGS,344742119240201,GW,2012-11-30,12:00,PST,NULL,NULL,NULL,N,USGS,D,NULL,S,O,A,34.795,-119.4007222
