County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Imperial County,25,Imperial,USGS,324013115511101,GW,2013-03-21,09:38,PDT,90.21,NULL,NULL,NULL,USGS,m,2,S,T,A,32.6703398,-115.8538967
Imperial County,25,Imperial,USGS,324013115511101,GW,2013-10-31,10:20,PDT,90.25,NULL,NULL,NULL,USGS,m,2,S,V,A,32.6703398,-115.8538967
Imperial County,25,Imperial,USGS,324117115552001,GW,2013-02-26,09:25,PST,168.24,NULL,NULL,NULL,USGS,m,2,S,V,A,32.68811717,-115.923066
Imperial County,25,Imperial,USGS,324117115552001,GW,2013-10-31,09:35,PDT,168.64,NULL,NULL,NULL,USGS,m,2,S,V,A,32.68811717,-115.923066
Imperial County,25,Imperial,USGS,324123115552901,GW,2013-03-21,09:18,PDT,167.42,NULL,NULL,NULL,USGS,m,2,S,T,A,32.68978379,-115.9255662
Imperial County,25,Imperial,USGS,324123115552901,GW,2013-10-31,09:55,PDT,167.2,NULL,NULL,NULL,USGS,m,2,S,V,A,32.68978379,-115.9255662
Imperial County,25,Imperial,USGS,324216115051001,GW,2013-05-23,10:13,MST,43.47,NULL,NULL,NULL,USGS,m,2,S,V,A,32.70459347,-115.0870314
Imperial County,25,Imperial,USGS,324216115051101,GW,2013-05-23,10:14,MST,46.36,NULL,NULL,NULL,USGS,m,2,S,V,A,32.70459069,-115.0870647
Imperial County,25,Imperial,USGS,324226114554901,GW,2013-03-06,14:28,MST,73.8,NULL,NULL,NULL,USGS,m,2,S,V,A,32.7072958,-114.9311211
Imperial County,25,Imperial,USGS,324226114554901,GW,2013-04-30,16:50,MST,74.48,NULL,NULL,NULL,USGS,m,2,S,V,A,32.7072958,-114.9311211
Imperial County,25,Imperial,USGS,324226114554901,GW,2013-05-22,15:54,MST,74.64,NULL,NULL,NULL,USGS,m,2,S,V,A,32.7072958,-114.9311211
Imperial County,25,Imperial,USGS,324226114554901,GW,2013-08-28,09:08,MST,75.1,NULL,NULL,NULL,USGS,m,2,S,V,A,32.7072958,-114.9311211
Imperial County,25,Imperial,USGS,324226114554901,GW,2013-11-19,17:00,MST,74.94,NULL,NULL,NULL,USGS,m,2,S,V,A,32.7072958,-114.9311211
Imperial County,25,Imperial,USGS,324226114554901,GW,2013-11-20,09:12,MST,74.98,NULL,NULL,NULL,USGS,m,2,S,V,A,32.7072958,-114.9311211
Imperial County,25,Imperial,USGS,324239114563601,GW,2013-03-07,13:15,MST,30.0,NULL,NULL,NULL,USGS,m,2,S,V,A,32.71077075,-114.943969
Imperial County,25,Imperial,USGS,324239114563601,GW,2013-05-22,16:25,MST,25.76,NULL,NULL,NULL,USGS,m,2,S,V,A,32.71077075,-114.943969
Imperial County,25,Imperial,USGS,324239114563601,GW,2013-08-28,09:30,MST,24.96,NULL,NULL,NULL,USGS,m,2,S,V,A,32.71077075,-114.943969
Imperial County,25,Imperial,USGS,324239114563601,GW,2013-11-20,09:00,MST,26.63,NULL,NULL,NULL,USGS,m,2,S,V,A,32.71077075,-114.943969
