County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Inyo County,27,Inyo,USGS,361817116244701,GW,2013-01-23,11:00,PST,2.59,NULL,NULL,NULL,NV069,m,2,A,V,P,36.3044005,-116.4139304
Inyo County,27,Inyo,USGS,361817116244701,GW,2013-03-21,15:00,PDT,3.08,NULL,NULL,NULL,NV069,m,2,A,V,P,36.3044005,-116.4139304
Inyo County,27,Inyo,USGS,361817116244701,GW,2013-05-21,11:40,PDT,2.86,NULL,NULL,NULL,NV069,m,2,A,V,P,36.3044005,-116.4139304
Inyo County,27,Inyo,USGS,361817116244701,GW,2013-07-24,11:37,PDT,2.92,NULL,NULL,NULL,NV069,m,2,A,V,P,36.3044005,-116.4139304
Inyo County,27,Inyo,USGS,361817116244701,GW,2013-09-10,12:50,PDT,2.86,NULL,NULL,NULL,NV069,m,2,A,V,P,36.3044005,-116.4139304
Inyo County,27,Inyo,USGS,361817116244701,GW,2013-11-26,11:25,PST,2.77,NULL,NULL,NULL,NV069,m,2,A,V,P,36.3044005,-116.4139304
Inyo County,27,Inyo,USGS,362230116392901,GW,2013-03-13,10:42,PDT,604.8,NULL,NULL,NULL,USNPS,m,1,A,T,A,36.37522945,-116.6597706
Inyo County,27,Inyo,USGS,362230116392901,GW,2013-06-19,08:31,PDT,604.7,NULL,NULL,NULL,USNPS,m,1,A,T,A,36.37522945,-116.6597706
Inyo County,27,Inyo,USGS,362230116392901,GW,2013-11-07,10:03,PST,605.0,NULL,NULL,NULL,USNPS,m,1,A,T,A,36.37522945,-116.6597706
Inyo County,27,Inyo,USGS,362230116392901,GW,2013-12-12,13:40,PST,605.0,NULL,NULL,NULL,USNPS,m,1,A,T,A,36.37522945,-116.6597706
Inyo County,27,Inyo,USGS,362402116280901,GW,2013-03-05,12:43,PST,93.48,NULL,NULL,NULL,USNPS,m,2,A,R,A,36.4004333,-116.4691667
Inyo County,27,Inyo,USGS,362402116280901,GW,2013-06-11,13:33,PDT,93.93,NULL,NULL,NULL,USNPS,m,2,A,R,A,36.4004333,-116.4691667
Inyo County,27,Inyo,USGS,362402116280901,GW,2013-10-23,12:18,PDT,93.73,NULL,NULL,NULL,USNPS,m,2,A,R,A,36.4004333,-116.4691667
Inyo County,27,Inyo,USGS,362402116280901,GW,2013-12-16,13:35,PST,93.84,NULL,NULL,NULL,USNPS,m,2,A,R,A,36.4004333,-116.4691667
Inyo County,27,Inyo,USGS,362525116274301,GW,2013-01-23,12:00,PST,16.03,NULL,NULL,NULL,NV069,m,2,A,V,P,36.42523214,-116.4633796
Inyo County,27,Inyo,USGS,362525116274301,GW,2013-03-21,14:21,PDT,16.3,NULL,NULL,NULL,NV069,m,2,A,V,P,36.42523214,-116.4633796
Inyo County,27,Inyo,USGS,362525116274301,GW,2013-05-21,12:19,PDT,16.23,NULL,NULL,NULL,NV069,m,2,A,V,P,36.42523214,-116.4633796
