County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Modoc County,49,Modoc,USGS,413640121124301,GW,2013-01-08,12:06,PST,322.95,NULL,NULL,NULL,USGS,m,2,S,V,A,41.61124606,-121.2118976
Modoc County,49,Modoc,USGS,413640121124301,GW,2013-03-28,13:21,PDT,309.65,NULL,NULL,NULL,USGS,m,2,S,V,A,41.61124606,-121.2118976
Modoc County,49,Modoc,USGS,413640121124301,GW,2013-07-09,14:48,PDT,320.55,NULL,NULL,NULL,USGS,m,2,S,V,A,41.61124606,-121.2118976
Modoc County,49,Modoc,USGS,413640121124301,GW,2013-10-22,15:24,PDT,328.35,NULL,NULL,NULL,USGS,m,2,S,V,A,41.61124606,-121.2118976
Modoc County,49,Modoc,USGS,414043121155501,GW,2013-01-08,11:29,PST,142.27,NULL,NULL,NULL,USGS,m,2,S,V,A,41.67885326,-121.2665035
Modoc County,49,Modoc,USGS,414043121155501,GW,2013-03-28,12:47,PDT,141.61,NULL,NULL,NULL,USGS,m,2,S,V,A,41.67885326,-121.2665035
Modoc County,49,Modoc,USGS,414043121155501,GW,2013-07-09,14:18,PDT,141.93,NULL,NULL,NULL,USGS,m,2,S,V,A,41.67885326,-121.2665035
Modoc County,49,Modoc,USGS,414043121155501,GW,2013-10-22,15:46,PDT,142.45,NULL,NULL,NULL,USGS,m,2,S,V,A,41.67885326,-121.2665035
Modoc County,49,Modoc,USGS,414053121104101,GW,2013-03-28,11:42,PDT,324.17,NULL,NULL,R,USGS,m,2,S,V,A,41.68149578,-121.1780635
Modoc County,49,Modoc,USGS,414053121104101,GW,2013-07-09,13:43,PDT,327.98,NULL,NULL,R,USGS,m,2,S,V,A,41.68149578,-121.1780635
Modoc County,49,Modoc,USGS,414053121104101,GW,2013-10-22,16:28,PDT,324.22,NULL,NULL,NULL,USGS,m,2,S,V,A,41.68149578,-121.1780635
Modoc County,49,Modoc,USGS,415104121232901,GW,2013-01-08,13:00,PST,53.41,NULL,NULL,NULL,USGS,m,2,S,S,A,41.85124685,-121.3927008
Modoc County,49,Modoc,USGS,415104121232901,GW,2013-03-28,10:14,PDT,54.17,NULL,NULL,NULL,USGS,m,2,S,S,A,41.85124685,-121.3927008
Modoc County,49,Modoc,USGS,415104121232901,GW,2013-07-09,11:11,PDT,52.33,NULL,NULL,NULL,USGS,m,2,S,S,A,41.85124685,-121.3927008
Modoc County,49,Modoc,USGS,415104121232901,GW,2013-10-22,11:48,PDT,53.84,NULL,NULL,NULL,USGS,m,2,S,S,A,41.85124685,-121.3927008
Modoc County,49,Modoc,USGS,415546121205401,GW,2013-01-08,14:24,PST,6.98,NULL,NULL,NULL,USGS,m,2,S,S,A,41.92930454,-121.3495059
Modoc County,49,Modoc,USGS,415546121205401,GW,2013-03-28,09:20,PDT,7.6,NULL,NULL,NULL,USGS,m,2,S,S,A,41.92930454,-121.3495059
Modoc County,49,Modoc,USGS,415546121205401,GW,2013-07-09,09:57,PDT,4.08,NULL,NULL,NULL,USGS,m,2,S,S,A,41.92930454,-121.3495059
Modoc County,49,Modoc,USGS,415546121205401,GW,2013-10-22,09:53,PDT,6.5,NULL,NULL,NULL,USGS,m,2,S,S,A,41.92930454,-121.3495059
