County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Santa Cruz County,87,Santa Cruz,USGS,365541121405801,GW,2013-01-29,10:48,PST,84.9,NULL,NULL,NULL,USGS,m,2,S,V,A,36.9281111,-121.6828333
Santa Cruz County,87,Santa Cruz,USGS,365709121500401,GW,2013-02-05,13:30,PST,136.83,NULL,NULL,NULL,USGS,m,2,S,V,A,36.9525833,-121.8345
Santa Cruz County,87,Santa Cruz,USGS,365722121441601,GW,2013-02-06,12:10,PST,113.53,NULL,NULL,NULL,USGS,m,2,S,V,A,36.9562222,-121.7378056
Santa Cruz County,87,Santa Cruz,USGS,365905121540901,GW,2013-01-07,09:09,PST,93.02,NULL,NULL,NULL,USGS,m,2,S,V,A,36.98491667,-121.9027222
Santa Cruz County,87,Santa Cruz,USGS,365943121504101,GW,2013-02-05,09:30,PST,407.22,NULL,NULL,NULL,USGS,m,2,S,V,A,36.99530556,-121.8448889
Santa Cruz County,87,Santa Cruz,USGS,370000121445601,GW,2013-02-14,13:45,PST,16.89,NULL,NULL,NULL,USGS,m,2,S,V,A,37.00002778,-121.7489167
Santa Cruz County,87,Santa Cruz,USGS,370145121560101,GW,2013-02-04,09:34,PST,109.09,NULL,NULL,NULL,USGS,m,2,S,V,A,37.0292222,-121.9338333
Santa Cruz County,87,Santa Cruz,USGS,370322121582801,GW,2013-01-14,09:22,PST,108.74,NULL,NULL,NULL,USGS,m,2,S,V,A,37.0563333,-121.9744722
Santa Cruz County,87,Santa Cruz,USGS,370456121565301,GW,2013-01-09,10:00,PST,82.45,NULL,NULL,NULL,USGS,m,2,S,V,A,37.0823611,-121.9480833
Santa Cruz County,87,Santa Cruz,USGS,370632121591001,GW,2013-01-08,13:15,PST,36.91,NULL,NULL,NULL,USGS,m,2,S,V,A,37.10905556,-121.9863333
