County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Sutter County,101,Sutter,USGS,385314121401701,GW,2013-08-08,12:52,PDT,3.19,NULL,NULL,NULL,USGS,m,2,S,V,A,38.88691667,-121.6727444
Sutter County,101,Sutter,USGS,385431121451401,GW,2013-08-08,12:22,PDT,1.92,NULL,NULL,NULL,USGS,m,2,S,V,A,38.90848889,-121.7550667
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-01-29,15:13,PST,11.56,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-03-12,13:33,PDT,10.51,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-03-29,09:42,PDT,10.26,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-04-30,13:02,PDT,10.1,NULL,NULL,NULL,USGS,m,1,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-05-22,10:12,PDT,13.52,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-06-28,12:54,PDT,19.39,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-07-25,11:23,PDT,23.17,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-08-23,11:05,PDT,24.81,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-09-26,12:13,PDT,23.0,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-10-25,09:51,PDT,20.31,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-11-26,11:27,PST,19.86,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361901,GW,2013-12-27,10:17,PST,18.48,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-01-29,15:23,PST,10.82,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-03-12,13:39,PDT,10.1,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-03-29,09:56,PDT,10.11,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-04-30,13:06,PDT,10.1,NULL,NULL,NULL,USGS,m,1,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-05-22,10:24,PDT,12.66,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-06-28,10:18,PDT,17.0,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-07-25,11:25,PDT,20.29,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-08-23,11:11,PDT,22.06,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-09-26,12:16,PDT,20.94,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-10-25,10:02,PDT,18.61,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-11-26,11:38,PST,17.77,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361902,GW,2013-12-27,10:25,PST,16.83,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
Sutter County,101,Sutter,USGS,385501121361903,GW,2013-01-29,15:36,PST,7.27,NULL,NULL,NULL,USGS,m,2,S,S,A,38.91684127,-121.6063507
