County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-01-21,08:48,PST,15.99,NULL,NULL,NULL,CA578,m,2,R,R,A,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-02-19,09:06,PST,16.2,NULL,NULL,NULL,CA578,m,2,R,R,A,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-03-12,09:22,PST,16.13,NULL,NULL,NULL,CA578,m,2,R,R,A,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-04-16,08:56,PST,16.58,NULL,NULL,NULL,CA578,m,2,R,S,P,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-05-14,09:30,PST,17.14,NULL,NULL,NULL,CA578,m,2,R,S,P,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-06-16,09:18,PST,17.45,NULL,NULL,NULL,CA578,m,2,R,S,P,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-07-14,08:35,PST,17.85,NULL,NULL,NULL,CA578,m,2,R,S,P,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-08-11,08:58,PST,18.07,NULL,NULL,NULL,CA578,m,2,R,S,P,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-09-08,08:52,PST,18.03,NULL,NULL,NULL,CA578,m,2,R,S,P,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-10-14,09:00,PST,18.19,NULL,NULL,NULL,CA578,m,2,R,S,P,37.29069444,-121.0875556
Stanislaus County,99,Stanislaus,USGS,371726121051501,GW,2014-11-10,08:48,PST,17.72,NULL,NULL,NULL,CA578,m,2,R,S,P,37.29069444,-121.0875556
