County,FIPS_Code,featureId,agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd,Latitude,Longitude
Fresno County,19,Fresno,USGS,364650120221901,GW,2015-01-21,12:30,PST,163.57,NULL,NULL,NULL,CA578,m,2,R,S,P,36.78068056,-120.3722028
Fresno County,19,Fresno,USGS,364650120221901,GW,2015-02-23,12:44,PST,161.36,NULL,NULL,NULL,CA578,m,2,R,S,P,36.78068056,-120.3722028
Fresno County,19,Fresno,USGS,364650120221902,GW,2015-01-21,12:41,PST,44.31,NULL,NULL,NULL,CA578,m,2,R,S,P,36.78068056,-120.3722028
Fresno County,19,Fresno,USGS,364650120221902,GW,2015-02-23,12:56,PST,55.68,NULL,NULL,NULL,CA578,m,2,R,S,P,36.78068056,-120.3722028
Fresno County,19,Fresno,USGS,364650120221903,GW,2015-01-21,12:58,PST,27.22,NULL,NULL,NULL,CA578,m,2,R,S,P,36.78068056,-120.3722028
Fresno County,19,Fresno,USGS,364650120221903,GW,2015-02-23,13:02,PST,27.16,NULL,NULL,NULL,CA578,m,2,R,S,P,36.78068056,-120.3722028
Fresno County,19,Fresno,USGS,365322120401201,GW,2015-01-21,11:13,PST,190.76,NULL,NULL,NULL,CA578,m,2,R,S,P,36.88959444,-120.6701639
Fresno County,19,Fresno,USGS,365322120401201,GW,2015-02-23,11:41,PST,187.99,NULL,NULL,NULL,CA578,m,2,R,S,P,36.88959444,-120.6701639
Fresno County,19,Fresno,USGS,365322120401202,GW,2015-01-21,11:31,PST,137.02,NULL,NULL,NULL,CA578,m,2,R,S,P,36.88959444,-120.6701639
Fresno County,19,Fresno,USGS,365322120401202,GW,2015-02-23,11:52,PST,110.74,NULL,NULL,NULL,CA578,m,2,R,S,P,36.88959444,-120.6701639
