Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
14-Aug,08/01/2014 00:00,East Bay Municipal Utilities District,Moderate,Yes,6222,7172.3,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for August from 2005-2007 is 124 gpcd (using metered consumption data). The R-GPCD for August, 2013 is 103 gpcd. 2. Single Family Residential is 49 percent of total use; Multi-Family Residential is 20 percent of total use. 3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent. Voluntary cutbacks were requested in EBMUDs service area on February 11, 2014; and through August 31, 2014 actual water production was 11.1 percent less in 2014 than for the same period in 2013. ",1379000,88,"EBMUDs Board adopted Section 28 of the Districts Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",-99999,NULL,6222000000,7172300000,88.8,0.61,No Correction,San Francisco Bay,102.3
14-Aug,08/01/2014 00:00,Morro Bay  City of,Severely Restricted,Yes,35695596,40528972,G,,10461,70.4,,,-99999,NULL,35695596,40528972,70.4,0.64,No Correction,Central Coast,80
14-Aug,08/01/2014 00:00,Yorba Linda Water District,Stage 1,Yes,2227.9,2355.9,AF,,73990,212.1,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 1 restrictions include irrigation limited to three times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  Direct Mailing of an informational tri-fold and Drought Explanation Letter to every customer (approx. 25,000)  Direct Mailing of a customer-specific usage letter to all Home Owners Associations (large irrigation users)   Establishment of a Water Waster Hotline and Website Application for customers to notify the District of water waste they observe in the community (35 website notices and 40 hotline calls)  Specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff now assigned to Conservation Education and Investigation of Water Waste in the Community.  Participation in MWDOCs Turf Removal Rebate Program (36 customers/50,000 sq ft of turf removed) ",-99999,NULL,725964394,767673377,212.1,0.67,No Correction,South Coast,224.2
14-Aug,08/01/2014 00:00,Long Beach  City of,1st level (Imminent Shortage),Yes,5264,5648,AF,"     The original estimate of R-GPCD used the metered water use numbers as they come to the Water Department from the City's billing system in a monthly extract of the City's billing data; although we can get this data relatively quickly, it is not as accurate as the data eventually produced by our Finance Division.   The original estimate of R-GPCD also included non-revenue water, allocating the non-revenue water to each customer class in proportion to that classes metered water use.        And the original estimate of R-GPCD used the population estimate provided by the Calif Dept of Finance in early 2014.  These revised estimates exclude non-revenue water, use the more refined metered water use numbers as determined by the Water Dept's finance section, and use the population estimate of the Calif Dept of Finance for calendar year 2014, as revised in early 2015, and prorated for the months in question.       Data submitted for the month of Aug 2014 included a population estimate of 471,000 and residential metered use of 1,385,680  HCF;  and proportionate share of metered demand of 70% ; and this percent of the total water into the system resulted in a R-GPCD reported at 81 R-GPCD.      The revised data includes the revised Calif DoF estimate of 471,875 (prorated throughout the year); uses just metered residential use as determined by the Water Department's Finance Division, 1,460,900 HCF; resulting in the R-GPCD of 75 R-GPCD.",471875,75,,,-99999,NULL,1715281912,1840408860,75,0.64,No Correction,South Coast,80.5
14-Aug,08/01/2014 00:00,"Los Banos, City of",3,Yes,291669000,324811000,G,The number of 100 was automatically pre populated in the monitoring tool itself as the percentage of residential use.  That was incorrect.  The correct percentage for the City of Los Banos should of read 66%.,37168,167,,,-99999,NULL,291669000,324811000,167.1,0.66,No Correction,San Joaquin River,186.1
14-Aug,08/01/2014 00:00,Turlock  City of,1,Yes,704959441,808805100,G,"The above percentage is based on billed residential accounts.  The remaining 60.3 percent of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",71181,190.7,The City of Turlock responded to a total of 46 residential water wasting incidences.,,-99999,NULL,704959441,808805100,190.7,0.597,No Correction,San Joaquin River,218.8
14-Aug,08/01/2014 00:00,Jurupa Community Service District,Level 2,Yes,2729.602,3006.107,AF,JCSD implemented a new utility billing system in 03/2014.Usage errors were discovered for August and December in a system review. This report is being re-filed to correct the error.   ,118731,159,,,-99999,NULL,889444707,979544256,159.5,0.66,No Correction,South Coast,175.6
14-Aug,08/01/2014 00:00,Coastside County Water District,Stage 2 - Water Shortage Emergency Warning,Yes,74.89,84.56,MG,Residential monthly percentage should not be used because residential customers are billed bi-monthly and production data is monthly.,16652,87,,,-99999,NULL,74890000,84560000,87,0.6,No Correction,San Francisco Bay,98.3
14-Aug,08/01/2014 00:00,Citrus Heights Water District,Stage 3 Water Warningate,Yes,1477,1924,AF,based on connection classification and historical use,67333,193.7,,,-99999,NULL,481282558,626938146,193.7,0.84,No Correction,Sacramento River,252.3
14-Aug,08/01/2014 00:00,Burlingame  City of,2,Yes,133271204,156953978,G,,30282,91,,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.,-99999,NULL,133271204,156953978,90.9,0.64,No Correction,San Francisco Bay,107
