Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
14-Dec,12/01/2014 00:00,East Bay Municipal Utilities District,Moderate,Yes,3839.0,4772.0,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for December from 2005-2007 is 71 gpcd (using metered consumption data). The R-GPCD for December, 2013 is 70 gpcd.  2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in December, 2013 as a percentage of Total Monthly Potable Production (TMPP) for December, 2013 and applying that ratio to TMPP of December, 2014 to get the approximate volume of residential water use for December, 2014. The population for 2014 was calculated using 2013 ABAG projections.  3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use with 10% requested thus far and increasing to 15% as of January, 2015. EBMUD customers have cut back ~11% when comparing total production in 2014 vs 2013.  ",1379000,56.0,"EBMUDs Board adopted Section 28 of the Districts Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUDs Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.",-99999,NULL,3839000000,4772000000,55.7,0.62,No Correction,San Francisco Bay,69.2
14-Dec,12/01/2014 00:00,Morro Bay  City of,Severly Restricted,Yes,26365763.0,33999367.0,G,,10234,57.0,,,-99999,NULL,26365763,33999367,56.5,0.68,No Correction,Central Coast,72.9
14-Dec,12/01/2014 00:00,Yorba Linda Water District,Stage 1,Yes,862.2,1437.7,AF,"YLWD's Total Monthly Production for the month of November 2014 was 1,520.3 acre-feet. Approximately 254.4 acre-feet was from Indirect Potable Reuse. Therefore, our adjusted Total Monthly Water Production-IPR is 1,265.9 acre-feet and our adjusted GCPD-IPR is 140.54. Unfortunately, we did not have access to this data prior to submitting November 2014's report. ",72399,95.14,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 1 restrictions include irrigation limited to three times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  Direct Mailing of an informational tri-fold and Drought Explanation Letter to every customer (approx. 25,000)  Direct Mailing of a customer-specific usage letter to all Home Owners Associations (large irrigation users)   Establishment of a Water Waster Hotline and Website Application for customers to notify the District of water waste they observe in the community (67 website notices and 53 hotline calls)   Specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff now assigned to Conservation Education and Investigation of Water Waste in the Community.  Thus far, 5 Water Conservation Ordinance First Violations have been issued.   Participation in MWDOCs Turf Removal Rebate Program (115 customers/120,000 sq ft of turf removed) ",-99999,NULL,280949100,468476597,95.1,0.76,No Correction,South Coast,158.6
14-Dec,12/01/2014 00:00,Long Beach  City of,2nd level (Stage 1),Yes,3996.0,4525.0,AF,,472459,63.0,,"Initially, we included non-revenue water when determining the percent residential use; when we determined this was incorrect we resubmitted corrected PRU and R-GPCD without non-revenue water.  A spreadsheet detailing both sets of calculations is available upon request.",-99999,NULL,1302102302,1474477707,63.1,0.71,No Correction,South Coast,71.5
14-Dec,12/01/2014 00:00,"Los Banos, City of",3,Yes,127370000.0,124110000.0,G,,37168,75.0,,,-99999,NULL,127370000,124110000,75.2,0.68,No Correction,San Joaquin River,73.2
14-Dec,12/01/2014 00:00,Turlock  City of,1,Yes,301.0,463.6,MG,"The above percentage is based on billed residential accounts.  The remaining 47.1 percent of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",71181,72.1,Responded to a total of 7 water wasting incidences in the month of December.,,-99999,NULL,301000000,463600000,72.2,0.529,No Correction,San Joaquin River,111.1
14-Dec,12/01/2014 00:00,Jurupa Community Service District,Level 2,Yes,1012.968,1668.761,AF,JCSD implemented a new utility billing system in 03/2014. Usage errors were discovered for August (re-filed already) and December in a system review. This report is being re-filed to correct the error. ,118731,61.0,,,-99999,NULL,330077068,543768153,61.9,0.69,No Correction,South Coast,101.9
14-Dec,12/01/2014 00:00,Coastside County Water District,Stage 2-Water Shortage Emergency Warning,Yes,39.11,51.1,MG,Residential customers have their meters read every other month. Residential GPCD was calculated using SWRCB's Guidance. December was a wet month with over 10 inches of rain in Half Moon Bay.,16652,44.0,,,-99999,NULL,39110000,51100000,57.6,0.76,No Correction,San Francisco Bay,75.2
14-Dec,12/01/2014 00:00,Citrus Heights Water District,Stage 3,Yes,563.0,701.0,AF,,67333,84.0,,,-99999,NULL,183454353,228421850,83.5,0.95,No Correction,Sacramento River,104.0
14-Dec,12/01/2014 00:00,Burlingame  City of,2,Yes,82541873.0,108348134.0,G,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.,30282,56.0,,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.,-99999,NULL,82541873,108348134,56.3,0.64,No Correction,San Francisco Bay,73.9
