Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
14-Jun,06/01/2014 00:00,East Bay Municipal Utilities District,Moderate,Yes,6365.4,7025.7,MG,"1. Single Family Residential is 49 percent of total use; Multi-Family Residential is 20% of total use. 2. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent. Voluntary cutbacks were requested in EBMUDs service area on February 11, 2014; and through July 31, 2014 actual water production was 10.7 percent less in 2014 than for the same period in 2013.",1330000,110.1,"EBMUDs Board adopted Section 28 of the Districts Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",-99999,NULL,6365400000,7025700000,110.1,0.69,No Correction,San Francisco Bay,121.5
14-Jun,06/01/2014 00:00,Morro Bay  City of,Severely Restricted ,Yes,34544401.0,36565077.0,G,"Morro Bay has had moderately restricted water supply water conservation measures for years now, and since approx. February the City went to severely restricted water supply.  This year Morro Bay has been experiencing a influx in tourism resulting in more water use in restaurants, hotels and vacation homes. ",10234,74.6,The City of Morro Bay has been writing letters to potential violators and reminding them of our current water situation.  Compliance has been good.,"Water Conservation information has been updated on the City website, Channel 20 (local Channel) and discussed at City Council meetings.  Flyers were sent to every mail receptacle in Morro Bay with the water restrictions and water conservation was addressed in the Utility newsletter.  ",-99999,G,34544401,36565077,74.6,0.6629999999999999,No Correction,Central Coast,79.0
14-Jun,06/01/2014 00:00,Yorba Linda Water District,Permanent Restrictions Only,Yes,2298.3,2185.0,AF,,73990,226.1,,"The State's Emergency Regulations regarding outdoor water use, including prohibitions on washing down hard or paved surfaces, runoff caused by over irrigation, using a hose without an automatic shut-off nozzle and using potable water in fountains without water recirculation are part of YLWD's Permanent Water Use Restrictions and have been in effect since July 1, 2009.",-99999,NULL,748904335,711985368,226.1,0.67,No Correction,South Coast,214.9
14-Jun,06/01/2014 00:00,Long Beach  City of,1st level (Imminent Shortage),Yes,5190.0,5417.0,AF,,471000,76.0,,"Initially, we included non-revenue water when determining the percent residential use; when we determined this was incorrect we resubmitted corrected PRU and R-GPCD without non-revenue water.  A spreadsheet detailing both sets of calculations is available upon request.",-99999,NULL,1691168906,1765137180,76.6,0.64,No Correction,South Coast,79.9
14-Jun,06/01/2014 00:00,"Los Banos, City of",3,Yes,300808000.0,321727000.0,G,,37168,169.0,,,-99999,NULL,300808000,321727000,170.0,0.63,No Correction,San Joaquin River,181.8
14-Jun,06/01/2014 00:00,Turlock  City of,1,Yes,791.0,748.0,MG,,71181,237.1,,,33,MG,791000000,748000000,237.1,0.64,No Correction,San Joaquin River,224.2
14-Jun,06/01/2014 00:00,Jurupa Community Service District,Level 2,Yes,2884.2,2854.249,AF,Re-filing of drought report using updated population numbers from the 2010 Census.,118731,166.2,,,-99999,NULL,939820686,930061110,166.2,0.63,No Correction,South Coast,164.5
14-Jun,06/01/2014 00:00,Coastside County Water District,Stage 2,Yes,67.83,69.55,MG,"Reporting percentage residential use on a monthly basis does not reflect actual residential use, since production data is monthly and residential use is bi-monthly. This percentage should not be used.",16652,93.0,,,-99999,NULL,67830000,69550000,93.0,0.685,No Correction,San Francisco Bay,95.4
14-Jun,06/01/2014 00:00,Citrus Heights Water District,Stage 3 Water Warning,Yes,1548.0,1816.0,AF,Based on use by category,67475,211.8,,,-99999,NULL,504418009,591746191,211.8,0.85,No Correction,Sacramento River,248.5
14-Jun,06/01/2014 00:00,Burlingame  City of,2,Yes,124497770.0,165840571.0,G,,30282,88.0,,,-99999,NULL,124497770,165840571,87.7,0.64,No Correction,San Francisco Bay,116.8
14-Jun,06/01/2014 00:00,Orange Vale Water Company,3,Yes,549.16,634.97,AF,,15200,372.8,,,-99999,NULL,178944570,206905881,372.8,0.95,No Correction,Sacramento River,431.1
14-Jun,06/01/2014 00:00,Dublin San Ramon Services District,3,Yes,273.076,387.061,MG,,77374,94.1,,,161.48,MG,273076000,387061000,94.1,0.8,No Correction,San Francisco Bay,133.4
14-Jun,06/01/2014 00:00,Los Angeles Department of Water and Power,Phase 2,Yes,49770.0,49519.0,AF,"Total water production was re-submitted to include final supply volume instead of preliminary supply volume. Population was re-submitted to account for monthly projected increases in population change. R-GPCD was entered incorrectly, so we are re-submitting June data. Economy - June 2014's unemployment rate was 8.2 percent compared to 10.2 percent in June 2013. ",3951309,93.0,"LADWP staffs the Water Conservation Response Unit (WCRU) who actively patrols Los Angeles communities and enforces the Citys Water Shortage Contingency Plan, which is called the Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. Repeat violators are issued monetary fines ranging from $100-$600.","LADWP implements multiple conservation programs:  Extensive water conservation rebate and incentives programs  Outreach & Education campaign which includes media advertising and community outreach  City facility water conservation retrofits  Local water conservation ordinances Please see LADWP's submission to the SWRCB on June 6th which provides detailed information on our water conservation programs, drought response, and enforcement. ",1119,AF,16217625522,16135836814,93.0,0.68,No Correction,South Coast,92.6
14-Jun,06/01/2014 00:00,Camrosa Water District,stage one scheduled to be implemented late August,Yes,935.37,939.16,AF,,26931,215.0,,,-99999,NULL,304791649,306026626,215.0,0.57,No Correction,South Coast,215.9
14-Jun,06/01/2014 00:00,El Dorado Irrigation District,2,Yes,3811.0,4815.0,AF,Monthly production includes estimated agricultural use of 29.42%. The estimated percentages for residential and agricultural use vary from month to month due to the Districts bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. Report does not include 371 acre-feet of recycled water produced for uses that would otherwise require potable water.,128500,119.7,,,-99999,NULL,1241819788,1568974621,119.7,0.3716,No Correction,Sacramento River,151.2
14-Jun,06/01/2014 00:00,El Centro  City of,None,Yes,270304000.0,291321000.0,G,,44311,152.5,,,-99999,NULL,270304000,291321000,152.5,0.75,No Correction,Colorado River,164.4
14-Jun,06/01/2014 00:00,Milpitas  City of,0,No,405064.0,442010.0,CCF,,70817,142.6,,,-99999,NULL,303008914,330646442,142.6,1.0,No Correction,San Francisco Bay,155.6
