Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
14-Nov,11/01/2014 00:00,East Bay Municipal Utilities District,Moderate,Yes,4195.4,5148.6,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for November from 2005-2007 is 81 gpcd (using metered consumption data). The R-GPCD for November, 2013 is 77 gpcd. 2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in November, 2013 as a percentage of Total Monthly Potable Production (TMPP) for November, 2013 and applying that ratio to TMPP of November, 2014 to get the approximate volume of residential water use for November, 2014. The population for 2014 was calculated using 2013 ABAG projections. 3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent.  ",1379000,62.0,"EBMUDs Board adopted Section 28 of the Districts Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",-99999,NULL,4195400000,5148600000,61.9,0.61,No Correction,San Francisco Bay,75.9
14-Nov,11/01/2014 00:00,Morro Bay  City of,Severely Restricted,Yes,27062107.0,33485435.0,G,,10234,59.0,,,-99999,NULL,27062107,33485435,59.1,0.67,No Correction,Central Coast,73.1
14-Nov,11/01/2014 00:00,Yorba Linda Water District,Stage 1,Yes,1520.3,1584.3,AF,"YLWD's Total Monthly Production for the month of October 2014 was 1,922.8 acre-feet. Approximately 264.8 acre-feet was from Indirect Potable Reuse. Therefore, our adjusted Total Monthly Water Production-IPR is 1658.0 acre-feet and our adjusted GCPD-IPR is 173.32. Unfortunately, we did not have access to this data prior to submitting October 2014's report. ",72399,168.78,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 1 restrictions include irrigation limited to three times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  Direct Mailing of an informational tri-fold and Drought Explanation Letter to every customer (approx. 25,000)  Direct Mailing of a customer-specific usage letter to all Home Owners Associations (large irrigation users)   Establishment of a Water Waster Hotline and Website Application for customers to notify the District of water waste they observe in the community (55 website notices and 52 hotline calls)   Specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff now assigned to Conservation Education and Investigation of Water Waste in the Community.  Thus far, 5 Water Conservation Ordinance First Violations have been issued.   Participation in MWDOCs Turf Removal Rebate Program (105 customers/102,000 sq ft of turf removed) ",-99999,NULL,495391924,516246416,168.8,0.74,No Correction,South Coast,175.9
14-Nov,11/01/2014 00:00,Long Beach  City of,2nd level (Stage 1),Yes,4471.0,4715.0,AF,,472262,67.0,,"Initially, we included non-revenue water when determining the percent residential use; when we determined this was incorrect we resubmitted corrected PRU and R-GPCD without non-revenue water.  A spreadsheet detailing both sets of calculations is available upon request.",-99999,NULL,1456881730,1536389478,66.8,0.65,No Correction,South Coast,70.5
14-Nov,11/01/2014 00:00,"Los Banos, City of",3,Yes,148411000.0,180075000.0,G,,37168,118.5,,,-99999,NULL,148411000,180075000,118.5,0.89,No Correction,San Joaquin River,143.7
14-Nov,11/01/2014 00:00,Turlock  City of,1,Yes,413.0,521.9,MG,"The above percentage is based on billed residential accounts.  The remaining 48.67 percent of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",71181,99.28,Responded to a total of 4 water wasting incidences in the month of November.,,-99999,NULL,413000000,521900000,99.3,0.5133,No Correction,San Joaquin River,125.5
14-Nov,11/01/2014 00:00,Jurupa Community Service District,Level 2,Yes,1735.656,1849.761,AF,,118731,106.0,,,-99999,NULL,565565984,602747261,106.4,0.67,No Correction,South Coast,113.4
14-Nov,11/01/2014 00:00,Coastside County Water District,Stage 2-Water Shortage Emergency Warning,Yes,46.37,57.99,MG,Residential customers have their meters read every other month. Residential GPCD was calculated using SWRCB's guidance.,16652,39.0,,,-99999,NULL,46370000,57990000,41.8,0.45,No Correction,San Francisco Bay,52.2
14-Nov,11/01/2014 00:00,Citrus Heights Water District,3,Yes,682.0,912.0,AF,based on connection classification and monthly/historical use,67333,98.0,,,-99999,NULL,222230673,297176501,104.5,0.95,No Correction,Sacramento River,139.8
14-Nov,11/01/2014 00:00,Burlingame  City of,2,Yes,91220967.0,116065060.0,G,,30282,64.0,,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.,-99999,NULL,91220967,116065060,64.3,0.64,No Correction,San Francisco Bay,81.8
14-Nov,11/01/2014 00:00,Orange Vale Water Company,3,Yes,197.57,295.93,AF,,15200,132.0,,,-99999,NULL,64378466,96429213,122.8,0.87,No Correction,Sacramento River,184.0
14-Nov,11/01/2014 00:00,Dublin San Ramon Services District,3,Yes,180.349,266.545,MG,,79275,59.39,,,0.016,MG,180349000,266545000,59.4,0.7829999999999999,No Correction,San Francisco Bay,87.8
14-Nov,11/01/2014 00:00,Los Angeles Department of Water and Power,Phase 2,Yes,40582.0,43694.0,AF,Total water production was re-submitted to include final supply volume instead of preliminary supply volume. Population was re-submitted to account for monthly projected increases in population change. Temperature November 2014 was 2.1 degrees hotter than November 2013 and 3.8 degrees hotter than the long-term average temperature for November. Precipitation  November 2014 received 0.14 inches less precipitation than November 2013 and 0.78 inches less precipitation than the long-term average ,3967360,75.6,"Our Water Conservation Response Unit (WCRU), a.k.a. Water Cops, actively patrol Los Angeles communities and enforce the Citys Emergency Water Conservation Ordinance. The WCRU investigates reports of wasteful water use and educates violators on the importance of complying with the Water Conservation Ordinance. Repeat violators are issued monetary fines ranging from $100-$600. The WCRU has issued over 4,910 letters and citations this year. ","LAs residential GPCD for November 2014 was 75.6 gallons per person per day. This is noteworthy considering the size of Los Angeles and its 5 microclimates, and the varied socioeconomic sectors in the city. November 2014 compared to November 2013 has shown a decrease in water usage of 7.1%. ",749,AF,13223702611,14237752251,75.6,0.68,No Correction,South Coast,81.3
14-Nov,11/01/2014 00:00,Camrosa Water District,stage one,No,653.11,703.08,AF,NULL,35738,131.87,,,-99999,NULL,212816825,229099621,131.0,0.66,No Correction,South Coast,141.0
14-Nov,11/01/2014 00:00,El Dorado Irrigation District,2,Yes,1512.0,2372.0,AF,Monthly production includes estimated agricultural use of 26.2%. The estimated percentages for residential and agricultural use vary from month to month due to the Districts bi-monthly meter reading cycles. Monthly production includes wholesale deliveries to the City of Placerville because they are not an urban water supplier. Report does not include 96 acre-feet of recycled water produced for uses that would otherwise require potable water.,128500,77.0,,,-99999,NULL,492687358,772919585,76.9,0.602,No Correction,Sacramento River,120.7
14-Nov,11/01/2014 00:00,El Centro  City of,None,Yes,193720000.0,186629000.0,G,"we have adopted the state guidelines from the latest regulation. Residential use does not include commercial, landscaping or industry.",44311,87.0,,,-99999,NULL,193720000,186629000,87.4,0.6,No Correction,Colorado River,84.2
14-Nov,11/01/2014 00:00,Milpitas  City of,2,Yes,383983.0,417890.0,CCF,"based on current month, 2 month customer bill cycle",70817,51.0,,,-99999,NULL,287239231,312603429,60.8,0.45,No Correction,San Francisco Bay,66.2
