Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
14-Oct,10/01/2014 00:00,East Bay Municipal Utilities District,Moderate,Yes,5370.6,6175,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for October from 2005-2007 is 97 gpcd (using metered consumption data). The R-GPCD for October, 2013 is 88 gpcd. 2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in October, 2013 as a percentage of Total Monthly Potable Production (TMPP) for October, 2013 and applying that ratio to TMPP of October, 2014 to get the approximate volume of residential water use for October, 2014. The population for 2014 was calculated using 2013 ABAG projections. 3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent.  ",1379000,75,"EBMUDs Board adopted Section 28 of the Districts Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. ",-99999,NULL,5370600000,6175000000,75.4,0.6,No Correction,San Francisco Bay,86.7
14-Oct,10/01/2014 00:00,Morro Bay  City of,Severely Restricted,Yes,32547457,37234272,G,,10234,67,,,-99999,NULL,32547457,37234272,66.7,0.65,No Correction,Central Coast,76.3
14-Oct,10/01/2014 00:00,Yorba Linda Water District,Stage 1,Yes,1922.8,1953.5,AF,"YLWD's Total Monthly Production for the month of September 2014 was 2,077.3 acre-feet. Approximately 316.0 was from Indirect Potable Reuse. Therefore, our adjusted Total Monthly Water Production-IPR is 1,761.3 acre-feet and our adjusted GCPD-IPR is 187.61. Unfortunately, we did not have access to this data prior to submitting September 2014's report. ",72399,201,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 1 restrictions include irrigation limited to three times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  Direct Mailing of an informational tri-fold and Drought Explanation Letter to every customer (approx. 25,000)  Direct Mailing of a customer-specific usage letter to all Home Owners Associations (large irrigation users)   Establishment of a Water Waster Hotline and Website Application for customers to notify the District of water waste they observe in the community (128 website notices and 120 hotline calls)   Specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff now assigned to Conservation Education and Investigation of Water Waste in the Community.  Thus far, 4 Water Conservation Ordinance First Violations have been issued.   Participation in MWDOCs Turf Removal Rebate Program (75 customers/78,000 sq ft of turf removed) ",-99999,NULL,626547124,636550763,201,0.72,No Correction,South Coast,204.2
14-Oct,10/01/2014 00:00,Long Beach  City of,1st level (Imminent Shortage),Yes,4955,5324,AF,,472853,67,,"Initially, we included non-revenue water when determining the percent residential use; when we determined this was incorrect we resubmitted corrected PRU and R-GPCD without non-revenue water.  A spreadsheet detailing both sets of calculations is available upon request.",-99999,NULL,1614593821,1734832997,67.2,0.61,No Correction,South Coast,72.2
14-Oct,10/01/2014 00:00,"Los Banos, City of",3,Yes,227812000,234625000,G,,37168,132,,,-99999,NULL,227812000,234625000,132.5,0.67,No Correction,San Joaquin River,136.4
14-Oct,10/01/2014 00:00,Turlock  City of,stage 1,Yes,601.6,638.2,MG,"The above percentage is based on billed residential accounts.  The remaining 45.17 percent of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",70132,151.73,Responded to a total of 38 water wasting incidences in the month of October.,,-99999,NULL,601600000,638200000,151.7,0.5483,No Correction,San Joaquin River,161
14-Oct,10/01/2014 00:00,Jurupa Community Service District,Level 2,Yes,2240.288,2326.021,AF,Re-filing of drought report using updated population numbers,118731,115,,,-99999,NULL,730001042,757937262,115,0.58,No Correction,South Coast,119.4
14-Oct,10/01/2014 00:00,Coastside County Water District,Stage 2-Water Shortage Emergency Warning,Yes,57.13,68.72,MG,Residential customers have their meters read bi-monthly. Residential GPCD was calculated using SWRCB's guidance. Coastside CWD's alternate calculation estimated Residential GPCD at 59. Agricultural use of production was 11%.,16652,82,,,-99999,NULL,57130000,68720000,79.7,0.72,No Correction,San Francisco Bay,95.8
14-Oct,10/01/2014 00:00,Citrus Heights Water District,3,Yes,1031,1297,AF,based on connection classification and monthly/historical use,67333,153,,,-99999,NULL,335952821,422629301,152.9,0.95,No Correction,Sacramento River,192.4
14-Oct,10/01/2014 00:00,Burlingame  City of,2,Yes,116177729,132572552,G,,30282,79,,,-99999,NULL,116177729,132572552,79.2,0.64,No Correction,San Francisco Bay,90.4
