Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
14-Sep,09/01/2014 00:00,East Bay Municipal Utilities District,Moderate,Yes,5682.9,6528.4,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for September from 2005-2007 is 114 gpcd (using metered consumption data). The R-GPCD for October, 2013 is 97 gpcd. 2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in September, 2013 as a percentage of Total Monthly Potable Production (TMPP) for September, 2013 and applying that ratio to TMPP of September, 2014 to get the approximate volume of residential water use for September, 2014. The population for 2014 was calculated using 2013 ABAG projections. 3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use by 10 percent. Voluntary cutbacks were requested in EBMUDs service area on February 11, 2014; and through September 30, 2014 actual water production was 11.4 percent less in 2014 than for the same period in 2013. ",1379000,84,"EBMUDs Board adopted Section 28 of the Districts Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought.",-99999,NULL,5682900000,6528400000,83.8,0.61,No Correction,San Francisco Bay,96.3
14-Sep,09/01/2014 00:00,Morro Bay  City of,Severly Restricted,Yes,32804911,36627545,G,,10234,69,,,-99999,NULL,32804911,36627545,69.5,0.65,No Correction,Central Coast,77.5
14-Sep,09/01/2014 00:00,Yorba Linda Water District,Stage 1,Yes,2077.3,2236.5,AF,,72399,221.27,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 1 restrictions include irrigation limited to three times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  Direct Mailing of an informational tri-fold and Drought Explanation Letter to every customer (approx. 25,000)  Direct Mailing of a customer-specific usage letter to all Home Owners Associations (large irrigation users)   Establishment of a Water Waster Hotline and Website Application for customers to notify the District of water waste they observe in the community (59 website notices and 62 hotline calls)   Specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff now assigned to Conservation Education and Investigation of Water Waste in the Community.  Participation in MWDOCs Turf Removal Rebate Program (63 customers/72,500 sq ft of turf removed) ",-99999,NULL,676891169,728766716,221.3,0.71,No Correction,South Coast,238.2
14-Sep,09/01/2014 00:00,Long Beach  City of,1st level (Imminent Shortage),Yes,5113,5463,AF,"     The original estimate of R-GPCD used the metered water use numbers as they come to the Water Department from the City's billing system in a monthly extract of the City's billing data; although we can get this data relatively quickly, it is not as accurate as the data eventually produced by our Finance Division.   The original estimate of R-GPCD also included non-revenue water, allocating the non-revenue water to each customer class in proportion to that classes metered water use.        And the original estimate of R-GPCD used the population estimate provided by the Calif Dept of Finance in early 2014.  These revised estimates exclude non-revenue water, use the more refined metered water use numbers as determined by the Water Dept's finance section, and use the population estimate of the Calif Dept of Finance for calendar year 2014, as revised in early 2015, and prorated for the months in question.       Data submitted for the month of Sept 2014 included a population estimate of 471,868 and residential metered use of 1,428,999  HCF;  and proportionate share of metered demand of 71% ; and this percent of the total water into the system resulted in a R-GPCD reported at 82 R-GPCD.      The revised data includes the revised Calif DoF estimate of 472,055 (prorated throughout the year); uses just metered residential use as determined by the Water Department's Finance Division, 1,504,332 HCF; resulting in 79 R-GPCD.",472055,79,,,-99999,NULL,1666078346,1780126346,80,0.68,No Correction,South Coast,85.5
14-Sep,09/01/2014 00:00,"Los Banos, City of",3,Yes,252715000,285980000,G,The number of 100 was automatically pre populated in the reporting tool itself as the percentage of residentail use.  That is incorrect.  The correct percentage for the City of Los Banos is 70%,37168,158.6,,,-99999,NULL,252715000,285980000,158.6,0.7,No Correction,San Joaquin River,179.5
14-Sep,09/01/2014 00:00,Turlock  City of,Stage 1,Yes,708.4,745.2,MG,"The above percentage is based on billed residential accounts.  The remaining 47.52 percent of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",71181,174.08,Responded to a total of 26 water wasting incidences in the month of August,,-99999,NULL,708400000,745200000,174.1,0.5248,No Correction,San Joaquin River,183.1
14-Sep,09/01/2014 00:00,Jurupa Community Service District,Level 2,Yes,2506.362,2748.802,AF,Re-filing of drought report using updated population numbers,118731,149,,,-99999,NULL,816701634,895701054,149,0.65,No Correction,South Coast,163.5
14-Sep,09/01/2014 00:00,Coastside County Water District,Stage 2 - Water Shortage Emergency Warning,Yes,60.23,71.88,MG,Residential customers are not billed monthly. Residential GPCD was calculated using DWR's instructions. Percentage agricultural use of production was 10%.,16652,58,,,-99999,NULL,60230000,71880000,48.2,0.4,No Correction,San Francisco Bay,57.6
14-Sep,09/01/2014 00:00,Citrus Heights Water District,3,Yes,1275,1509,AF,Total SF/MF connections vs Total Connections,67333,195,,,-99999,NULL,415460569,491709803,195.4,0.95,No Correction,Sacramento River,231.3
14-Sep,09/01/2014 00:00,Burlingame  City of,2,Yes,118498590,149219599,G,,30282,83,,,-99999,NULL,118498590,149219599,83.5,0.64,No Correction,San Francisco Bay,105.1
