Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Apr,04/01/2015 00:00,East Bay Municipal Utilities District,Stage 4,Yes,4456.9,5417.5,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for April from 2005-2007 is 81 gpcd using metered consumption data. The R-GPCD for April, 2013 is 82 gpcd.  2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in April, 2013 as a percentage of Total Monthly Potable Production (TMPP) for April, 2013 and applying that ratio to TMPP of April, 2015 to get the approximate volume of residential water use for April, 2015. The population for 2015 was calculated using 2013 ABAG projections. ",1390000,67,"EBMUDs Board adopted a revised Section 28 of the Districts Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the States prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the Districts authority to enforce civil and criminal action if needed. On April 28th, EBMUD Board adopted two new ordinances 1. Excessive Water Use Penalty Ordinance  purpose is to prohibit excessive water use when EBMUDs Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance  purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. ","1. EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUDs Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUDs Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",-99999,NULL,4456900000,5417500000,66.3,0.62,No Correction,San Francisco Bay,80.5
15-Apr,04/01/2015 00:00,Morro Bay  City of,Severely Restricted,Yes,29362580,28928011,G,,10234,62.79,,,-99999,NULL,29362580,28928011,62.8,0.6565,No Correction,Central Coast,61.9
15-Apr,04/01/2015 00:00,Yorba Linda Water District,Stage 1,Yes,1422.24,1588.61,AF,,72500,152.59,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 1 restrictions include irrigation limited to three times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  5 Water Waster Hotline and  50 Website Applications for customers to notify the District of water waste they observe in the community   Regular specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff assigned to Conservation Education and Investigation of Water Waste in the Community.   22 Water Conservation Ordinance First Violations have been issued.  1 Water Conservation Ordinance Second Violation has been issued, resulting in $100 in fines.  Participation in MWDOCs Turf Removal Rebate Program (20 customer pre-inspections/64,000 sq ft of turf removed) ",-99999,NULL,463438934,517650835,157.7,0.74,No Correction,South Coast,176.1
15-Apr,04/01/2015 00:00,Long Beach  City of,Level 3 (Stage 2),Yes,4647,4945,AF,,473247,65,,,-99999,NULL,1514231581,1611335307,65.1,0.61,No Correction,South Coast,69.2
15-Apr,04/01/2015 00:00,"Los Banos, City of",3,Yes,187216000,224680000,G,,37168,104,,,-99999,NULL,187216000,224680000,104.1,0.62,No Correction,San Joaquin River,124.9
15-Apr,04/01/2015 00:00,Turlock  City of,3,Yes,497.77,612.45,MG,"The above percentage is based on billed residential accounts.  The remaining 46.09% of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",71181,125.77,,,-99999,NULL,497770000,612450000,125.7,0.5391,No Correction,San Joaquin River,154.6
15-Apr,04/01/2015 00:00,Jurupa Community Service District,Level 2,Yes,1886.684,2128.064,AF,,118731,97,,,-99999,NULL,614778674,693432691,96.7,0.56,No Correction,South Coast,109
15-Apr,04/01/2015 00:00,Coastside County Water District,Stage 2,Yes,48.88,62.55,MG,,16668,73,,,-99999,NULL,48880000,62550000,73.6,0.7527,No Correction,San Francisco Bay,94.2
15-Apr,04/01/2015 00:00,Citrus Heights Water District,Stage 4 Water Crisis Long Term,Yes,761,1030,AF,based on connection classification,67333,117,,,-99999,NULL,247972936,335626970,116.6,0.95,No Correction,Sacramento River,157.8
15-Apr,04/01/2015 00:00,Burlingame  City of,2,Yes,98688862,130717859,G,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.  Also correcting for incorrect reference to 2014 as a baseline.,30282,70,,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.  Also correcting for incorrect reference to 2014 as a baseline.,-99999,NULL,98688862,130717859,69.5,0.64,No Correction,San Francisco Bay,92.1
