Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Feb,02/01/2015 00:00,East Bay Municipal Utilities District,Moderate,Yes,3765.9,4016.4,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for February from 2005-2007 is 68 gpcd using billed consumption data. The R-GPCD for February, 2013 is 64 gpcd.  2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in January, 2013 as a percentage of Total Monthly Potable Production (TMPP) for February, 2013 and applying that ratio to TMPP of February, 2015 to get the approximate volume of residential water use for February, 2015. The population for 2015 was calculated using 2013 ABAG projections.  3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use with 10% requested thus far and increasing to 15% as of January, 2015. EBMUD customers have cut back ~11% when comparing total production in 2014 vs 2013.   4.The extremely dry weather of January 2015 and the wet weather preceding January 2013 results in a comparison showing no conservation to have occurred. February shows savings of about 6.7%. ",1390000,59.0,"EBMUDs Board adopted Section 28 of the Districts Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUDs Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015.",-99999,NULL,3765900000,4016400000,59.0,0.61,No Correction,San Francisco Bay,62.9
15-Feb,02/01/2015 00:00,Morro Bay  City of,Severly Restricted,Yes,25004393.0,25941318.0,G,,10234,60.27,,,-99999,NULL,25004393,25941318,60.2,0.69,No Correction,Central Coast,62.5
15-Feb,02/01/2015 00:00,Yorba Linda Water District,Stage 1,Yes,1248.1,1254.9,AF,"YLWD's Total Monthly Production for the month of February 2015 was 1,248.1 acre-feet. Approximately 297.5 acre-feet was from Indirect Potable Reuse. Therefore, our adjusted Total Monthly Water Production-IPR is 950.6 acre-feet and our adjusted GCPD-IPR is 114.60.",72399,150.47,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 1 restrictions include irrigation limited to three times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  Direct Mailing of an informational tri-fold and Drought Explanation Letter to every customer (approx. 25,000)  Direct Mailing of a customer-specific usage letter to all Home Owners Associations (large irrigation users)   Establishment of a Water Waster Hotline and Website Application for customers to notify the District of water waste they observe in the community (72 website notices and 58 hotline calls)   Specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff now assigned to Conservation Education and Investigation of Water Waste in the Community.  Thus far, 6 Water Conservation Ordinance First Violations have been issued.   Participation in MWDOCs Turf Removal Rebate Program (135 customers/140,000 sq ft of turf removed)   Thus far, 6 Water Conservation Ordinance First Violations have been issued.   Participation in MWDOCs Turf Removal Rebate Program (135 customers/140,000 sq ft of turf removed) ",-99999,AF,406695166,408910956,150.5,0.75,No Correction,South Coast,151.3
15-Feb,02/01/2015 00:00,Long Beach  City of,2nd level (Stage 1),Yes,3966.0,4022.0,AF,,472853,66.0,,"Initially, we included non-revenue water when determining the percent residential use; when we determined this was incorrect we resubmitted corrected PRU and R-GPCD without non-revenue water.  A spreadsheet detailing both sets of calculations is available upon request.",-99999,NULL,1292326759,1310574439,65.4,0.67,No Correction,South Coast,66.3
15-Feb,02/01/2015 00:00,"Los Banos, City of",3,Yes,117939000.0,123565000.0,G,,37168,78.0,,,-99999,NULL,117939000,123565000,78.2,0.69,No Correction,San Joaquin River,81.9
15-Feb,02/01/2015 00:00,Turlock  City of,1,Yes,294.8,378.4,MG,"The above percentage is based on billed residential accounts.  The remaining 47.49% of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",71181,77.67,Responded to a total of 10 water wasting incidences in the month of February.,,-99999,NULL,294800000,378400000,77.7,0.5251,No Correction,San Joaquin River,99.7
15-Feb,02/01/2015 00:00,Jurupa Community Service District,Level 2,Yes,1315.773,1220.088,AF,,118731,83.0,,,-99999,NULL,428746510,397567416,89.0,0.69,No Correction,South Coast,82.5
15-Feb,02/01/2015 00:00,Coastside County Water District,Stage 2-Water Shortage Emergency Warning,Yes,50.33,45.63,MG,Production is reported monthly and Residential billing is bi-monthly. ,16668,74.0,,,-99999,NULL,50330000,45630000,73.7,0.6829999999999999,No Correction,San Francisco Bay,66.8
15-Feb,02/01/2015 00:00,Citrus Heights Water District,Stage 3 Water Warning,Yes,511.0,606.0,AF,,67333,84.0,,,-99999,NULL,166510079,197465965,83.9,0.95,No Correction,Sacramento River,99.5
15-Feb,02/01/2015 00:00,Burlingame  City of,2,Yes,84327239.0,90907847.0,G,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.  Also correcting for incorrect reference to 2014 as a baseline.,30282,64.0,,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.  Also correcting for incorrect reference to 2014 as a baseline.,-99999,NULL,84327239,90907847,63.7,0.64,No Correction,San Francisco Bay,68.6
