Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Jul,07/01/15 00:00,East Bay Municipal Utilities District,Stage 4,Yes,5148.5,7452.2,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for July from 2005-2007 is 125 gpcd using metered consumption data. The R-GPCD for July, 2013 is 105 gpcd. 2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in July, 2013 as a percentage of Total Monthly Potable Production (TMPP) for July, 2013 and applying that ratio to TMPP of July, 2015 to get the approximate volume of residential water use for July, 2015. The population for 2015 was calculated using 2013 ABAG projections. 3. For Commercial, Industrial, and Institutional (CII) water use, EBMUD used a methodology similar to that for calculating R-GPCD. Billing data for the volume of water provided to CII customers in July, 2013 as a percentage of Total Monthly Potable Production (TMPP) for July, 2013 was calculated, and that ratio was applied to the TMPP for July, 2015 to get the approximate volume of CII water use for July, 2015. ",1390000,71,"EBMUDs Board adopted a revised Section 28 of the Districts Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the States prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the Districts authority to enforce civil and criminal action if needed. On April 28th, EBMUD Board adopted two new ordinances 1. Excessive Water Use Penalty Ordinance _ purpose is to prohibit excessive water use when EBMUDs Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance _ purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. 3. The number of Contact Follow-Ups includes the following actions: email to customer; field visit _ contact with customer; field visit _ door hanger; incoming call _ contact with customer; outgoing call _ contact with customer; outgoing call _ voice message; warning letter sent.",,-99999,NULL,"5,148,500,000","7,452,200,000",71.7,60,No Correction,San Francisco Bay,103.7822162
15-Jul,07/01/15 00:00,Morro Bay  City of,Severly Restricted,Yes,32318984,42026752,G,"Revised report for CII water only, pervious CII report was not in Gallons.",10234,64.5,,,0,G,"32,318,984","42,026,752",64.5,63.3,No Correction,Central Coast,83.87409406
15-Jul,07/01/15 00:00,Yorba Linda Water District,Stage 3,Yes,1329.94,2348.8,AF,,72500,143,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average ÐmonthlyÓ usage of each customer class in 2013, minus the SWRCBs mandatory 36% reduction. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 3 restrictions include irrigation limited to two times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways: Ç 46 Water Waster Hotline and 52 Website Applications for customers to notify the District of water waste they observe in the community. Additionally, the City of Yorba Linda forwarded 2 calls they received from residents of water waste at locations throughout the City.  Ç Regular specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff. Ç Field staff assigned to Conservation Education and Investigation of Water Waste in the Community. Ç  270 Water Conservation Ordinance First Violations have been issued. 4 Water Conservation Ordinance Second Violations have been issued- resulting in $800 in fines.  Ç Participation in MWDOCs Turf Removal Rebate Program (68 customer pre-inspections/102,000 sq ft of turf removed) Ç Partnered with the City of Yorba Linda to identify and educate customers with a history of irrigation runoff to decrease usage and pollutants entered into the stormwater system.  ",-99999,NULL,"433,362,847","765,359,832",142.7,74,No Correction,South Coast,252.0217152
15-Jul,07/01/15 00:00,Long Beach  City of,3rd stage,Yes,4538,5598,AF,,473864,69,,Instituted pilot project: using smart meters for the enforcement of water-use prohibitions.,-99999,NULL,"1,478,713,776","1,824,116,288",69.5,69,No Correction,South Coast,85.73402377
15-Jul,07/01/15 00:00,"Los Banos, City of",3,Yes,243944000,337551000,G,,37168,133,,,-99999,NULL,"243,944,000","337,551,000",133.4,63,No Correction,San Joaquin River,184.58869
15-Jul,07/01/15 00:00,Turlock  City of,2,Yes,602.9,927.2,MG,,71181,154.95,,,-99999,NULL,"602,900,000","927,200,000",155,56.72,No Correction,San Joaquin River,238.3745231
15-Jul,07/01/15 00:00,Jurupa Community Service District,Level 3,Yes,2097.311,3066.804,AF,,118731,126,,,0,AF,"683,411,782","999,322,460",126.3,68,No Correction,South Coast,184.6828369
15-Jul,07/01/15 00:00,Coastside County Water District,Water Shortage Emergency Warning - Stage 2,Yes,57.33,75.61,MG,,16668,36,,,-99999,NULL,"57,330,000","75,610,000",35.5,32,No Correction,San Francisco Bay,46.81937903
15-Jul,07/01/15 00:00,Citrus Heights Water District,Stage 4 Water Crisis,Yes,1185,2059,AF,,67333,176,Hired a private night time water waste monitoring ,,-99999,NULL,"386,133,941","670,928,088",175.7,95,No Correction,Sacramento River,305.2880168
15-Jul,07/01/15 00:00,Burlingame  City of,2,Yes,108533079,165877230,G,"The estimated volume of CII and percent residential use is based upon bi-monthly billing data. The CII and percent residential calculations are the average value over June and July billing cycles. Total monthly production is based upon SFPUC meter data. Because the meter readings do not necessarily occur at the beginning and end of the month and because the readings from 2013 do not necessarily correspond with the same days as during 2015, the monthly production values have been interpolated to account for the variation in water meter reading days from SFPUC.  For the same reason, the percent residential is the ratio of the average volume of billed residential water used over two months divided by the average total produced water over two months. ",30282,64,,,-99999,NULL,"108,533,079","165,877,230",64.1,55.4,No Correction,San Francisco Bay,97.96764766
