Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Optional_Recycled_Water,Recycled_Water_Units,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Jun,06/01/2015 00:00,Adelanto City of,3,Yes,137383030,142449000,-99999,NULL,G,,28723,115.11,,,137383030,142449000,114.8,0.72,No Correction,South Lahontan,119
15-Jun,06/01/2015 00:00,Alameda County Water District,Stage 2,Yes,1068,1677,-99999,NULL,MG,"Calculated % residential use per the recommendation by SWRCB _ in their guidance for estimating residential GPCD - this % is based on the MAY 2014/JUNE 2014 (previous year) consumption for residential (SFR and MFR, including MF dedicated landscape accounts), as listed in the water revenue and consumption report for FY 2013/14 ",344000,73.5,Enforcement information provided with July 2014 report - no updates at this time. Note: 30 of the 172 water waste reports listed above required no action (not violations or could not confirm information provided).,Information provided with July 2014 report - no updates at this time.,1068000000,1677000000,73.5,0.71,No Correction,San Francisco Bay,115.4
15-Jun,06/01/2015 00:00,Alco Water Service,3,Yes,112.8,150.725,-99999,NULL,MG,"During the month of June 2015, two fire hydrants that are connected to Alco's water distribution system were hit by vehicles and leaked approximately 0.482MG before they were able to be turned off. Therefore, 0.482MG of water was produced that would not have otherwise been produced if the fire hydrants had not been hit. This amount of water is shown in the Non-revenue Water section of this report.",29179,110.28,,Alco has implemented Stage 3 of its Water Conservation and Mandatory Staged Water Use Prohibition Plan. ,112800000,150725000,110.3,0.8558,No Correction,Central Coast,147.4
15-Jun,06/01/2015 00:00,Alhambra  City of,Phase III,Yes,767.02,1032.22,0,NULL,AF,Billing system was not able to separate monthly Commercial and Industrial accounts for one Month.  It is in design to fix in July.,85068,98,,"Take the Pledge Lawn Sign Program Sign Boards posted in Major Intersections ""Sever Drought"" New Ordnance passed by City Council to reflect the Water Boards Drought regulations. ",249934562,336350360,97.9,1,No Correction,South Coast,131.8
15-Jun,06/01/2015 00:00,Amador Water Agency,2,Yes,95.56,124.77,0,NULL,MG,We do not include our backwash water in our total water production as it is only used to clean the filtration units. This water is never sent to the distribution system.,23347,81.2,In addressing complaints we have been putting our efforts forth with an educational awareness approach.   Fines are not being implemented at this time. Options include: 1- Verbal warning 2- Written warning 3- Water restrictor for 1 week 4- Water restrictor for remainder of drought. ,"Outreach program with all local water purveyors, Public Awareness seminars, Table tents for restaurants and hotels/bed and breakfast, Printed banners throughout high traffic areas in town, conservation awareness in classrooms and schools.",95560000,124770000,81.2,0.5955,No Correction,San Joaquin River,106.1
15-Jun,06/01/2015 00:00,"American Canyon, City of",Stage 2,Yes,272,382,14,NULL,AF,,20080,73.57,,"Landscape irrigation allowed 2 days per week, 8 PM to 8AM. Landscape irrigation that results in runoff into a gutter, sidewalk or the street is prohibited Water may not be used to wash cars, equipment, sidewalks, driveways, parking areas, tennis courts, patios, or other paved areas. Filling a new pool is prohibited but you may top off an existing pool to prevent health and safety hazards. ",88631588,124475245,73.6,0.5,No Correction,San Francisco Bay,103.3
15-Jun,06/01/2015 00:00,Anaheim  City of,III,Yes,4710,6256,-99999,NULL,AF,"The monthly production includes groundwater, imported water, and water from storage less untreated water delivery to Anaheim Hills Golf Course.  The Residential Use Percentage excludes system water losses. Anaheimês share of Indirect Potable Reuse (IPR) or GWRS water in June = 987.6 AF. Anaheimês adjusted Total Potable Water Production (excluding IPR) = 3,722 AF. Anaheimês adjusted GPCD (excluding IRP) = 65.5.",358549,82.9,The complaints of 482 included 225 Anaheim Anytime +59 Water Savers Log + 13 Customer Log + 2 OMS + 183 CSRs.  The follow-ups of 524 included 225 Anaheim Anytime +284 Water Savers Follow-ups + 13 Customer Log + 2 OMS.  Warning of 284 included 225 door hangers and 59 Water Savers Log.,Added 2 water conservation specialists.,1534760221,2038526527,82.9,0.581,No Correction,South Coast,110.1
15-Jun,06/01/2015 00:00,"Anderson, City of",2,Yes,78.264,108.039,0,NULL,MG,,11147,149,,We have begun auditing our electronic meters to identify low flow leaks to make our customers aware to minimize loss of water.  ,78264000,108039000,149.8,0.64,No Correction,Sacramento River,206.8
15-Jun,06/01/2015 00:00,Antioch  City of,Stage 3,Yes,429.53,670.945,-99999,NULL,MG,The population total has been updated for June reporting.  ,108298,99,2 warnings sent to code enforcement for further action,,429530000,670945000,99.2,0.75,No Correction,San Joaquin River,154.9
15-Jun,06/01/2015 00:00,Apple Valley Ranchos Water Company,CPUC Schedule 14.1,Yes,436761,619120,0,NULL,CCF,Our 2013 production number has been revised to be consistent with how we are reporting 2015 production numbers. The 2015 production numbers do not include water used for pre-lubrication of water-lubed wells. The pre-lubrication water is  metered separately and sent back down the well prior to entering the system; therefore it  is not reflected in production numbers.,62602,109.3,,,326719917,463133922,109.4,0.629,No Correction,South Lahontan,155.1
15-Jun,06/01/2015 00:00,Arcadia  City of,Phase I,Yes,1229.7,1697,0,NULL,AF,,57639,150,,,400699500,552969872,176.1,0.76,No Correction,South Coast,243
15-Jun,06/01/2015 00:00,Arcata  City of,3,Yes,58.453,52.753,-99999,NULL,MG,,18464,42,,,58453000,52753000,42.2,0.4,No Correction,North Coast,38.1
15-Jun,06/01/2015 00:00,Arroyo Grande  City of,1,Yes,205.4,304.9,0,NULL,AF,The commercial/non-revenue values are estimates since we bill bi-monthly.  A revised report will be submitted next month.,17121,104,,,66929883,99352100,104.2,0.8,No Correction,Central Coast,154.7
15-Jun,06/01/2015 00:00,Arvin Community Services District,stage 2,Yes,67.97,116.35,-99999,NULL,MG,,20499,97.43,,,67970000,116350000,97.3,0.88,No Correction,Tulare Lake,166.5
15-Jun,06/01/2015 00:00,Atascadero Mutual Water Company,2,Yes,150.86,228.97,-99999,NULL,MG,,31308,119.26,,,150860000,228970000,119.2,0.742,No Correction,Central Coast,180.9
15-Jun,06/01/2015 00:00,Atwater  City of,,Yes,260.11,342.66,-99999,NULL,MG,,29500,206.45,,,260110000,342660000,220.4,0.75,No Correction,San Joaquin River,290.4
15-Jun,06/01/2015 00:00,Azusa  City of,Stage 3,Yes,657583,859527,-99999,NULL,CCF,,110000,80.49,,,491906244,642970847,80.5,0.54,No Correction,South Coast,105.2
15-Jun,06/01/2015 00:00,Bakersfield  City of,3,Yes,1377011,2082532,-99999,NULL,CCF,,142827,176.21,,,1030075761,1557842119,176.2,0.733,No Correction,Tulare Lake,266.5
15-Jun,06/01/2015 00:00,Bakman Water Company,2,Yes,114001742,157254785,-99999,NULL,G,There was a residential fire this month where the fire department was dispatched and system hydrants were used to subdue.,13960,239.55,Bakman Schedule 14.1 approved. The other 9 responses were verbal warnings.,CPUC Rule 14.1 (Water Conservation and Rationing Plan) CPUC Schedule 14.1 (Staged Mandatory Water Rationing),114001742,157254785,239.5,0.88,No Correction,Tulare Lake,330.4
15-Jun,06/01/2015 00:00,Banning  City of,2,Yes,694,964,0,NULL,AF,,30325,134,,,226140890,314120776,134.2,0.54,No Correction,Colorado River,186.5
15-Jun,06/01/2015 00:00,Beaumont-Cherry Valley Water District,Stage 2,Yes,1081.2,1461.1,-99999,NULL,AF,,43111,130.75,,,352310563,476101520,130.8,0.48,No Correction,South Coast,176.7
15-Jun,06/01/2015 00:00,Bella Vista Water District,3,Yes,937,1954,-99999,NULL,AF,"The meters are read bimonthly, so metered usage during June includes varying portions of the daily water production quantities during the period from April 1 through June 30, 2015.  Water losses are calculated in January on a calendar year basis using the AWWA Water Audit software.  Monthly water production is split between all M&I usage and Agricultural using a 2-month rolling average  of metered M&I and metered Agricultural consumption.  Note: All District water services are metered.",17619,290,"Note: During June, 3 contacts were initiated by District meter readers who noticed violations of District policies during their normal course of work.  Two of the follow-ups were verbal with no formal (written) notices being given in those 2 instances.",,305322787,636713688,290.6,0.503,No Correction,Sacramento River,605.9
15-Jun,06/01/2015 00:00,Bellflower-Somerset Mutual Water Company,stage 1,Yes,405.41,498.99,-99999,NULL,AF,"We do not tract commercial usage separate from residential.We are in the process of upgrading our billing system, which will give us these numbers.For this report, i used the 86% to come up with the number.",46300,81.79,,,132103427,162596604,81.8,0.86,No Correction,South Coast,100.7
15-Jun,06/01/2015 00:00,Benicia  City of,Stage 3 (Modified),Yes,413.6,648.5,-99999,NULL,AF,,28086,86,,,134772150,211314650,86.4,0.54,No Correction,San Francisco Bay,135.4
