Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Mar,03/01/2015 00:00,East Bay Municipal Utilities District,Moderate,Yes,4650.2,4927.5,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for March from 2005-2007 is 71 gpcd using metered consumption data. The R-GPCD for March, 2013 is 71 gpcd. 2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in March, 2013 as a percentage of Total Monthly Potable Production (TMPP) for March, 2013 and applying that ratio to TMPP of March, 2015 to get the approximate volume of residential water use for March, 2015. The population for 2015 was calculated using 2013 ABAG projections. 3. EBMUD has mandatory prohibitions restrictions on outdoor use and EBMUD continues to ask all customers to voluntarily cut back their total water use with 10% requested thus far and increasing to 15% as of January, 2015. EBMUD customers have cut back ~11% when comparing total production in CY 2014 vs 2013.  ",1390000,67.0,"EBMUDs Board adopted Section 28 of the Districts Regulations Governing Service to Customers on August 12, 2014 to specify outdoor water uses that are prohibited until further notice and provide guidelines on effective water use practices to help customers conserve. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions.  ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). The Water Shortage Emergency Action Plan identifies the outreach efforts that EBMUD will make to educate and inform customers about the mandatory outdoor water use prohibitions and to provide guidance on how customers can conserve during the drought. EBMUDs Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program will be incorporated into EBMUDs next monthly submittal to the SWRCB.",-99999,NULL,4650200000,4927500000,65.8,0.61,No Correction,San Francisco Bay,69.8
15-Mar,03/01/2015 00:00,Morro Bay  City of,Severly Restricted,Yes,29893871.0,31277518.0,G,,10234,52.61,,,-99999,NULL,29893871,31277518,65.0,0.69,No Correction,Central Coast,68.0
15-Mar,03/01/2015 00:00,Yorba Linda Water District,Stage 1,Yes,860.6,882.5,AF,"YLWD's Residential Consumption for the month of March 2015 was 860.6 acre-feet. Approximately 245.62 acre-feet was from Indirect Potable Reuse. Therefore, our adjusted  Residential Consumption-IPR is 615.0 acre-feet and our adjusted GCPD-IPR is 89.29.",73990,124.95,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 1 restrictions include irrigation limited to three times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  Direct Mailing of an informational tri-fold and Drought Explanation Letter to every customer (approx. 25,000)  Direct Mailing of a customer-specific usage letter to all Home Owners Associations (large irrigation users)   Establishment of a Water Waster Hotline and Website Application for customers to notify the District of water waste they observe in the community (82 website notices and 62 hotline calls)   Specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff now assigned to Conservation Education and Investigation of Water Waste in the Community.  Thus far, 15 Water Conservation Ordinance First Violations have been issued.   Participation in MWDOCs Turf Removal Rebate Program (150 customers/175,000 sq ft of turf removed) ",-99999,NULL,280427738,287563884,122.3,1.0,No Correction,South Coast,125.4
15-Mar,03/01/2015 00:00,Long Beach  City of,2nd level (Stage 1),Yes,4613.0,4735.0,AF,,473050,59.0,,"Initially, we included non-revenue water when determining the percent residential use; when we determined this was incorrect we resubmitted corrected PRU and R-GPCD without non-revenue water.  A spreadsheet detailing both sets of calculations is available upon request.",-99999,NULL,1503152633,1542906507,59.5,0.58,No Correction,South Coast,61.0
15-Mar,03/01/2015 00:00,"Los Banos, City of",3,Yes,166417000.0,186188000.0,G,,37168,72.0,,,-99999,NULL,166417000,186188000,69.3,0.48,No Correction,San Joaquin River,77.6
15-Mar,03/01/2015 00:00,Turlock  City of,3,Yes,473.0,482.4,MG,"The above percentage is based on billed residential accounts.  The remaining 49.13% of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",71181,109.04,,,-99999,NULL,473000000,482400000,109.0,0.5086999999999999,No Correction,San Joaquin River,111.2
15-Mar,03/01/2015 00:00,Jurupa Community Service District,Level 2,Yes,1758.608,1840.977,AF,,118731,90.0,,,-99999,NULL,573044926,599884983,90.3,0.58,No Correction,South Coast,94.5
15-Mar,03/01/2015 00:00,Coastside County Water District,Stage 2 - Water Shortage Emergency Warning,Yes,48.89,48.38,MG,,16668,39.0,,,-99999,NULL,48890000,48380000,38.5,0.4064,No Correction,San Francisco Bay,38.1
15-Mar,03/01/2015 00:00,Citrus Heights Water District,Stage 3 Water Warning,Yes,726.0,820.0,AF,based on customer classification per connection,67333,108.0,,,-99999,NULL,236568136,267198170,107.7,0.95,No Correction,Sacramento River,121.6
15-Mar,03/01/2015 00:00,Burlingame  City of,2,Yes,100158263.0,108745548.0,G,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.  Also correcting for incorrect reference to 2014 as a baseline.,30282,68.0,,Restating water production to correct for different billing periods in wholesale water purchases from SFPUC when comparing current month to 2013 Baseline month.  Also correcting for incorrect reference to 2014 as a baseline.,-99999,NULL,100158263,108745548,68.3,0.64,No Correction,San Francisco Bay,74.1
