Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_Production_Monthly_Gallons_Month_2013,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-May,05/01/2015 00:00,East Bay Municipal Utilities District,Stage 4,Yes,4657.7,6716.5,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for May from 2005-2007 is 99 gpcd using metered consumption data. The R-GPCD for May, 2013 is 95 gpcd. 2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in May, 2013 as a percentage of Total Monthly Potable Production (TMPP) for May, 2013 and applying that ratio to TMPP of May, 2015 to get the approximate volume of residential water use for May, 2015. The population for 2015 was calculated using 2013 ABAG projections. ",1390000,65.0,"EBMUDs Board adopted a revised Section 28 of the Districts Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the States prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the Districts authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances 1. Excessive Water Use Penalty Ordinance  purpose is to prohibit excessive water use when EBMUDs Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance  purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. ","1. EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUDs Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUDs Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",-99999,NULL,4657700000,6716500000,64.9,0.6,No Correction,San Francisco Bay,93.5
15-May,05/01/2015 00:00,Morro Bay  City of,Severly Restricted,Yes,29893170.0,36927203.0,G,,10234,60.26,,,-99999,NULL,29893170,36927203,60.3,0.64,No Correction,Central Coast,74.5
15-May,05/01/2015 00:00,Yorba Linda Water District,Stage 3,Yes,1223.25,1893.17,AF,"YLWD's Total Potable Production for the month of May 2015 was 1223.25  acre-feet. Approximately  336 acre-feet was from Indirect Potable Reuse. Therefore, our adjusted Total Potable Production-IPR is 887.25 acre-feet and our adjusted R-GPCD-IPR is 99.69.",73500,131.24,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average monthly usage of each customer class in 2013, minus the SWRCBs mandatory 36% reduction. ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 3 restrictions include irrigation limited to two times per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  25 Water Waster Hotline and  75 Website Applications for customers to notify the District of water waste they observe in the community   Regular specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff assigned to Conservation Education and Investigation of Water Waste in the Community.   8 Water Conservation Ordinance First Violations have been issued.  Participation in MWDOCs Turf Removal Rebate Program (17 customer pre-inspections/21,000 sq ft of turf removed)  Development and Board Approval of a supplemental conservation ordinance to impose block penalties on usage.  Direct Mailing of a Penalty Block Explanation Letter to every customer (approx. 25,000), explaining the correlation of usage to penalization- use more, pay more  ",-99999,NULL,398597758,616892146,129.5,0.74,No Correction,South Coast,200.4
15-May,05/01/2015 00:00,Long Beach  City of,Level 3 (Stage 2),Yes,4273.0,5313.0,AF,,473502,59.0,,,-99999,NULL,1392363148,1731248632,58.8,0.62,No Correction,South Coast,73.1
15-May,05/01/2015 00:00,"Los Banos, City of",3,Yes,194652000.0,300515000.0,G,,37168,106.0,,,-99999,NULL,194652000,300515000,106.4,0.63,No Correction,San Joaquin River,164.3
15-May,05/01/2015 00:00,Turlock  City of,3,Yes,476.28,765.65,MG,"The above percentage is based on billed residential accounts.  The remaining 37.89% of potable application is utilized for landscaping and CII (Commercial, Industrial, Institutional) accounts.",71181,134.06,,,-99999,NULL,476280000,765650000,134.1,0.6211,No Correction,San Joaquin River,215.5
15-May,05/01/2015 00:00,Jurupa Community Service District,Level 3,Yes,1547.769,2751.73,AF,,118731,95.0,JCSD's Board of Directors approved a resolution to implement Level 3 on May 26.,,0,NULL,504342737,896655147,94.5,0.69,No Correction,South Coast,168.1
15-May,05/01/2015 00:00,Coastside County Water District,Stage 2- Water Shortage Emergency Warning,Yes,44.19,56.0,MG,,16668,39.0,,,-99999,NULL,44190000,56000000,39.4,0.4606,No Correction,San Francisco Bay,49.9
15-May,05/01/2015 00:00,Citrus Heights Water District,Stage 4 Water Crisis,Yes,869.0,1603.0,AF,,67333,129.0,,,-99999,NULL,283164890,522339837,128.9,0.95,No Correction,Sacramento River,237.7
15-May,05/01/2015 00:00,Burlingame  City of,2,Yes,107013638.0,142370084.0,G,"Data to determine CII and percent residential use is based upon bi-monthly billing.  The CII and percent residential calculations are the average value over April and May billing cycles.  Total monthly production is based upon meters from the SFPUC.  Because the meter readings do not necessarily occur at the beginning and end of the month and because the readings from 2013 do not necessarily correspond with the same days as during subsequent months, the monthly production values have been interpolated to account for the variation in water meter reading days from SFPUC.",30282,73.0,,,-99999,NULL,107013638,142370084,71.1,0.624,No Correction,San Francisco Bay,94.6
