Reporting_Month,Timestamp,Supplier_Name,Stage_Invoked,Mandatory_Restrictions,Total_Monthly_Potable_Water_Production_2014_2015,Total_Monthly_Potable_Water_Production_2013,Units,Qualification,Total_Population_Served,REPORTED_Residential_Gallons_per_Capita_Day,Optional_Enforcement_Actions,Optional_Implementation,Optional_Recycled_Water,Recycled_Water_Units,CALCULATED_Production_Monthly_Gallons_Month_2014_2015,CALCULATED_R_GPCD_2014_2015,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,CALCULATED_R_GPCD_2013
15-Nov,11/01/2015  00:00:00,East Bay Municipal Utilities District,Stage 4,Yes,3875.9,5148.6,MG,"1. To provide context as EBMUD continues to face the second drought period since 2007the average R-GPCD for Nov. from 2005-2007 is 81 gpcd using metered consumption data. The R-GPCD for Nov., 2013 is 77 gpcd. 2. For the PRU and R-GPCD, applied SWRCBs recommended methodology of using billing data for the volume of water provided to residential customers in Nov., 2013 as a percentage of Total Monthly Potable Production (TMPP) for Nov., 2013 and applying that ratio to TMPP of Nov., 2015 to get the approximate volume of residential water use for Nov., 2015. The population for 2015 was calculated using 2013 ABAG projections. 3. For Commercial, Industrial, and Institutional (CII) water use, EBMUD used a methodology similar to that for calculating R-GPCD. Billing data for the volume of water provided to CII customers in Nov., 2013 as a percentage of Total Monthly Potable Production (TMPP) for Nov., 2013 was calculated, and that ratio was applied to the TMPP for Nov., 2015 to get the approximate volume of CII water use for Nov., 2015.  4. The number of Contact Follow-Ups includes the following actions: email to customer; field visit  contact with customer; field visit  door hanger; incoming call  contact with customer; outgoing call  contact with customer; outgoing call  voice message; warning letter sent.  ",1390000,57,"EBMUDs Board adopted a revised Section 28 of the Districts Regulations Governing Service to Customers on April 14, 2015. The revised Section 28 includes the States prohibitions as well as liming outside watering to before 9am and after 6pm. Section 28 also defines the exceptions and enforcement provisions should customers fail to comply with the prohibitions including a misdemeanor punishable by a fine of up to $1000 and the Districts authority to enforce civil and criminal action if needed.  On April 28th, EBMUD Board adopted two new ordinances 1. Excessive Water Use Penalty Ordinance  purpose is to prohibit excessive water use when EBMUDs Board has declared a Stage 3 or Stage 4 drought and to authorize EBMUD to impose a financial penalty on customers who disregard the mandate to conserve water during the drought water shortage conditions. Any applicable penalty charges will be reflected in customer bills beginning Sept 1, 2015 and will apply to water use in July and August 2015. 2. Water Theft Penalty Ordinance  purpose is to provide EBMUD the authority to impose administrative penalties on any person who engages in water theft, including the unauthorized use of water from a public fire hydrant or other facilities. ","EBMUDs Board adopted a preliminary water shortage action plan on February 11, 2014 and updated it on May 13, 2014. The Board adopted a new water shortage emergency action plan on August 12, 2014 that includes initiatives to comply with the states emergency water conservation regulation (State Water Board Resolution 2014-0038). EBMUDs Board adopted on December 9, 2014 a declaration to increase customer water use reductions to 15% starting Jan, 2015. The Board has adopted, on April 14th, a revised Drought Management Program and declared that EBMUD has entered the critical stage in their water supply. EBMUDs Board on April 14, 2015 adopted a mandatory 20% districtwide reduction in water use with 2013 as the baseline year. ",,MG,"847,000,000", 56.7 ,61,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Morro Bay  City of,Severly Resticted,Yes,28815483,33485435,G,,10234,60.68,,,0,G,"8,188,096", 60.7 ,64.65,No Correction,Central Coast,
15-Nov,11/01/2015  00:00:00,Yorba Linda Water District,Stage 3,Yes,1173.51,1584.3,AF,,73990,130.1,"On the first violation, YLWD will hand deliver a door hanger to the location of the violation and mail a notice to the current billing address. A second violation within 12 calendar months is punishable by a penalty of $100. A third violation within 12 calendar months of the first or second violations is punishable by a penalty of $250. A fourth and any subsequent violations within 12 calendar months of the first violation are punishable by a fine of $500. In addition, the District may opt to install a water flow restrictor device.   Additionally, a Penalty Block structure was put into place on customer usage, based on customer class, in May 2015. Beginning with the billing period primarily of June 2015 usage, YLWD will assess penalties of $10 to $160 based on usage blocks above 18 units per billing period for the Residential Class. The Commercial Class will receive penalties from $25 to $400 based on usage blocks above 50 units per billing period, and the Irrigation Class will receive penalties from $65 to $1,000 per billing period based on usage blocks above 115 units.  These blocks are based on the average monthly usage of each customer class in 2013, minus the SWRCBs mandatory 36% reduction.  ","Watering is prohibited between the hours of 9am and 6pm. Watering is limited to 15 minutes per station per day. Water is prohibited when it is raining, or there is a forecasted chance of rain of 50 percent or higher. No runoff. No washing down of hard or paved surfaces. Re-circulation of water is required for water fountains. Washing of vehicles is limited to use of a hand-held house with an automatic shut-off nozzle. Stage 3 restrictions include irrigation limited to one time per week, with no irrigation on Sunday. Education and communication regarding these restrictions have been communicated to our customers in the following ways:  6 Water Waster Hotline and 10 Website Applications for customers to notify the District of water waste they observe in the community. Additionally, the City of Yorba Linda forwarded 1 call they received from residents of water waste at locations throughout the City.  Regular specialized training regarding Conservation and the Conservation Restrictions for Operations Field staff and Customer Service Staff.  Field staff assigned to Conservation Education and Investigation of Water Waste in the Community.   53 Water Conservation Ordinance First Violations have been issued. 9 Water Conservation Ordinance Second Violations have been issued- resulting in potentially $900 in fines.   Participation in MWDOCs Turf Removal Rebate Program   Partnered with the City of Yorba Linda to identify and educate customers with a history of irrigation runoff to decrease usage and pollutants entered into the stormwater system.   Implementation of a Leak Detection Program within the District. Approximately 5 leaks found this month in YLWD-maintained pipe, which have been repaired.  Additionally, due to the loss of revenue related to the Emergency Mandate of 36%, the District has raised its base fee effective on October 1, 2015 to cover the cost of providing water service. For a 1 inch meter, this amounts to approximately a $25 increase per billing period. We are encouraging customers to continue to decrease their usage to offset the increased base fee, and to help in meeting the State Emergency Mandate. ",,AF,"33,077,178", 127.5 ,74,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Long Beach  City of,3rd level,Yes,4169,4715,AF,,474587,53,,"Launched major conservation initiative Mission H2O Long Beach, that uses traditional and social media to promote conservation, and includes additions to our website: http://missionh2olb.com/",,AF,"361,369,233", 53.4 ,56,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,"Los Banos, City of",3,Yes,129662000,180075000,G,,37168,,,,,G,Null, 96.5 ,83,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,Turlock  City of,2,Yes,349.32,521.89,MG,,71181,82.58,,,,MG,"127,240,000", 82.6 ,50.48,No Correction,San Joaquin River,
15-Nov,11/01/2015  00:00:00,Jurupa Community Service District,Level 3,Yes,1697.973,1849.761,AF,,118731,115,,"Additional measures are being considered in January including, but not limited to, penalties and additional irrigation restrictions. ",0,AF,"143,851,349", 114.9 ,74,No Correction,South Coast,
15-Nov,11/01/2015  00:00:00,Coastside County Water District,Stage 2,Yes,41.24,57.99,MG,,16668,39,,,,MG,"19,720,000", 38.8 ,47,No Correction,San Francisco Bay,
15-Nov,11/01/2015  00:00:00,Citrus Heights Water District,Stage 4 Water Crisis,Yes,537,889,AF,,67333,89,,In March 2015 CHWD implemented a 3 Tier Drought Rate Structure,0,AF,"8,472,137", 82.3 ,95,No Correction,Sacramento River,
15-Nov,11/01/2015  00:00:00,Burlingame  City of,2,Yes,79356116,116065060,G,"The estimated volume of CII and percent residential use is based upon bi-monthly billing data. The CII and percent residential calculations are the average value over October and November billing cycles. Total monthly production is based upon SFPUC meter data. Because the meter readings do not necessarily occur at the beginning and end of the month and because the readings from 2013 do not necessarily correspond with the same days as during 2015, the monthly production values have been interpolated to account for the variation in water meter reading days from SFPUC.  For the same reason, the percent residential is the ratio of the average volume of billed residential water used over two months divided by the average total produced water over two months.",30282,56,,,,G,"29,302,050", 55.7 ,63.8,No Correction,San Francisco Bay,
