ID,Date,Reservoir_Storage(AF)
ALM,20100101,811274
ALM,20100201,846844
ALM,20100301,882229
ALM,20100401,932000
ALM,20100501,1009119
ALM,20100601,1062881
ALM,20100701,1018224
ALM,20100801,945076
ALM,20100901,886908
ALM,20101001,853149
ALM,20101101,828031
ALM,20101201,862000
ALM,20110101,810559
ALM,20110201,839590
ALM,20110301,915939
ALM,20110401,981000
ALM,20110501,1040000
ALM,20110601,1120000
ALM,20110701,1097201
ALM,20110801,1049940
ALM,20110901,996684
ALM,20111001,984823
ALM,20111101,942046
ALM,20111201,917188
ALM,20120101,935998
ALM,20120201,956721
ALM,20120301,1015619
ALM,20120401,1074285
ALM,20120501,1111946
ALM,20120601,1095597
ALM,20120701,1051522
ALM,20120801,1046252
ALM,20120901,1009119
ALM,20121001,947603
ALM,20121101,930214
ALM,20121201,981224
ALM,20130101,940280
ALM,20130201,927955
ALM,20130301,973279
ALM,20130401,997976
ALM,20130501,991778
ALM,20130601,959006
ALM,20130701,897534
ALM,20130801,835008
ALM,20130901,822631
ALM,20131001,798388
ALM,20131101,804597
ALM,20131201,804406
ALM,20140101,790737
ALM,20140201,822651
ALM,20140301,869067
ALM,20140401,899796
ALM,20140501,910000
ALM,20140601,871270
ALM,20140701,816766
ALM,20140801,774528
ALM,20140901,707182
ALM,20141001,693028
ALM,20141101,712024
ALM,20141201,772776
ALM,20150101,798428
ALM,20150201,853149
ALM,20150301,876824
ALM,20150401,885556
ALM,20150501,895553
ALM,20150601,869474
ANT,20100101,14928
ANT,20100201,15540
ANT,20100301,18250
ANT,20100401,23210
ANT,20100501,23012
ANT,20100601,22416
ANT,20100701,20957
ANT,20100801,19236
ANT,20100901,17711
ANT,20101001,17040
ANT,20101101,16115
ANT,20101201,19118
ANT,20110101,20132
ANT,20110201,22844
ANT,20110301,23352
ANT,20110401,23362
ANT,20110501,23003
ANT,20110601,22984
ANT,20110701,22564
ANT,20110801,21611
ANT,20110901,20527
ANT,20111001,19541
ANT,20111101,19008
ANT,20111201,18299
ANT,20120101,18299
ANT,20120201,18489
ANT,20120301,21929
ANT,20120401,23362
ANT,20120501,22788
ANT,20120601,21774
ANT,20120701,20315
ANT,20120801,18831
ANT,20120901,17526
ANT,20121001,16153
ANT,20121101,17413
ANT,20121201,22713
ANT,20130101,22937
ANT,20130201,22853
ANT,20130301,23182
ANT,20130401,22853
ANT,20130501,22685
ANT,20130601,21738
ANT,20130701,20342
ANT,20130801,18789
ANT,20130901,17841
ANT,20131001,17348
ANT,20131101,17350
ANT,20131201,17366
ANT,20140101,17542
ANT,20140201,18806
ANT,20140301,21135
ANT,20140401,22462
ANT,20140501,22573
ANT,20140601,21188
ANT,20140701,19492
ANT,20140801,18094
ANT,20140901,16749
ANT,20141001,16024
ANT,20141101,16001
ANT,20141201,18077
ANT,20150101,18957
ANT,20150201,22666
ANT,20150301,22797
ANT,20150401,22713
ANT,20150501,22639
ANT,20150601,21269
APN,20100101,8891
APN,20100201,8891
APN,20100301,8891
APN,20100401,8891
APN,20100501,8891
APN,20100601,8132
APN,20100701,7584
APN,20100801,6754
APN,20100901,5829
APN,20101001,5961
APN,20101101,6632
APN,20101201,8891
APN,20110101,8891
APN,20110201,8891
APN,20110301,8891
APN,20110401,8891
APN,20110501,8891
APN,20110601,8836
APN,20110701,8394
APN,20110801,7713
APN,20110901,7592
APN,20111001,6943
APN,20111101,6987
APN,20111201,7028
APN,20120101,8265
APN,20120201,8283
APN,20120301,8891
APN,20120401,8891
APN,20120501,8891
APN,20120601,7972
APN,20120701,7351
APN,20120801,6691
APN,20120901,6264
APN,20121001,5740
APN,20121101,6730
APN,20121201,8891
APN,20130101,8891
APN,20130201,8891
APN,20130301,8431
APN,20130401,8350
APN,20130501,7359
APN,20130601,7241
APN,20130701,6387
APN,20130801,5818
APN,20130901,5676
APN,20131001,5039
APN,20131101,4432
APN,20131201,4025
APN,20140101,4041
APN,20140201,8318
APN,20140301,8891
APN,20140401,8891
APN,20140501,8891
APN,20140601,8190
APN,20140701,8123
APN,20140801,7260
APN,20140901,6796
APN,20141001,6794
APN,20141101,7028
APN,20141201,8891
APN,20150101,8765
APN,20150201,8891
APN,20150301,8832
APN,20150401,8710
APN,20150501,8444
APN,20150601,7948
ATN,20100101,142505
ATN,20100201,165505
ATN,20100301,183575
ATN,20100401,193205
ATN,20100501,194685
ATN,20100601,190278
ATN,20100701,181268
ATN,20100801,171300
ATN,20100901,161653
ATN,20101001,158063
ATN,20101101,156925
ATN,20101201,164333
ATN,20110101,181623
ATN,20110201,203900
ATN,20110301,251775
ATN,20110401,265585
ATN,20110501,267230
ATN,20110601,266055
ATN,20110701,258123
ATN,20110801,253350
ATN,20110901,247760
ATN,20111001,241820
ATN,20111101,241160
ATN,20111201,240285
ATN,20120101,243140
ATN,20120201,243580
ATN,20120301,244900
ATN,20120401,248420
ATN,20120501,238565
ATN,20120601,228170
ATN,20120701,211798
ATN,20120801,197850
ATN,20120901,179493
ATN,20121001,169058
ATN,20121101,168195
ATN,20121201,181623
ATN,20130101,186445
ATN,20130201,187358
ATN,20130301,177200
ATN,20130401,155300
ATN,20130501,128548
ATN,20130601,95140
ATN,20130701,64955
ATN,20130801,35470
ATN,20130901,20363
ATN,20131001,15968
ATN,20131101,16650
ATN,20131201,16390
ATN,20140101,15935
ATN,20140201,15805
ATN,20140301,15675
ATN,20140401,15080
ATN,20140501,14600
ATN,20140601,13910
ATN,20140701,13248
ATN,20140801,12719
ATN,20140901,12266
ATN,20141001,11815
ATN,20141101,11511
ATN,20141201,11788
ATN,20150101,11964
ATN,20150201,15903
ATN,20150301,16618
ATN,20150401,16325
ATN,20150501,15870
ATN,20150601,15290
BCL,20100101,63609
BCL,20100201,61408
BCL,20100301,65141
BCL,20100401,72556
BCL,20100501,86317
BCL,20100601,103264
BCL,20100701,102311
BCL,20100801,89953
BCL,20100901,78348
BCL,20101001,72524
BCL,20101101,73307
BCL,20101201,84448
BCL,20110101,81666
BCL,20110201,78481
BCL,20110301,75484
BCL,20110401,78581
BCL,20110501,85955
BCL,20110601,103888
BCL,20110701,100761
BCL,20110801,102403
BCL,20110901,101944
BCL,20111001,89795
BCL,20111101,77069
BCL,20111201,70181
BCL,20120101,73372
BCL,20120201,75763
BCL,20120301,85493
BCL,20120401,98028
BCL,20120501,103099
BCL,20120601,98876
BCL,20120701,89307
BCL,20120801,79398
BCL,20120901,68211
BCL,20121001,65094
BCL,20121101,66369
BCL,20121201,79097
BCL,20130101,81210
BCL,20130201,74811
BCL,20130301,78697
BCL,20130401,88735
BCL,20130501,92722
BCL,20130601,91280
BCL,20130701,83750
BCL,20130801,75664
BCL,20130901,69442
BCL,20131001,61747
BCL,20131101,54209
BCL,20131201,51840
BCL,20140101,52124
BCL,20140201,56513
BCL,20140301,65236
BCL,20140401,70875
BCL,20140501,72144
BCL,20140601,71001
BCL,20140701,68659
BCL,20140801,67209
BCL,20140901,66718
BCL,20141001,65252
BCL,20141101,61285
BCL,20141201,70028
BCL,20150101,70053
BCL,20150201,82985
BCL,20150301,86265
BCL,20150401,88290
BCL,20150501,88510
BCL,20150601,82611
BDP,20100101,16010
BDP,20100201,20200
BDP,20100301,24730
BDP,20100401,23330
BDP,20100501,20740
BDP,20100601,38900
BDP,20100701,39510
BDP,20100801,26160
BDP,20100901,17610
BDP,20101001,18280
BDP,20101101,23600
BDP,20101201,35040
BDP,20110101,40330
BDP,20110201,41000
BDP,20110301,30390
BDP,20110401,30220
BDP,20110501,31720
BDP,20110601,36900
BDP,20110701,42340
BDP,20110801,34590
BDP,20110901,25170
BDP,20111001,23100
BDP,20111101,27920
BDP,20111201,31140
BDP,20120101,36280
BDP,20120201,40420
BDP,20120301,40970
BDP,20120401,37090
BDP,20120501,33600
BDP,20120601,27410
BDP,20120701,20990
BDP,20120801,15440
BDP,20120901,10400
BDP,20121001,8470
BDP,20121101,9990
BDP,20121201,13040
BDP,20130101,14910
BDP,20130201,17710
BDP,20130301,17750
BDP,20130401,16380
BDP,20130501,14860
BDP,20130601,12820
BDP,20130701,9760
BDP,20130801,6770
BDP,20130901,5540
BDP,20131001,5860
BDP,20131101,6390
BDP,20131201,6490
BDP,20140101,7410
BDP,20140201,9830
BDP,20140301,10180
BDP,20140401,9290
BDP,20140501,8540
BDP,20140601,6590
BDP,20140701,3730
BDP,20140801,2760
BDP,20140901,1880
BDP,20141001,1670
BDP,20141101,2380
BDP,20141201,3420
BDP,20150101,4700
BDP,20150201,6630
BDP,20150301,6460
BDP,20150401,5960
BDP,20150501,5710
BDP,20150601,4310
BER,20100101,1115220
BER,20100201,1166866
BER,20100301,1209300
BER,20100401,1253436
BER,20100501,1239639
BER,20100601,1202739
BER,20100701,1153190
BER,20100801,1112435
BER,20100901,1083443
BER,20101001,1071321
BER,20101101,1069548
BER,20101201,1134795
BER,20110101,1157185
BER,20110201,1229851
BER,20110301,1443490
BER,20110401,1459560
BER,20110501,1441121
BER,20110601,1419492
BER,20110701,1375105
BER,20110801,1331878
BER,20110901,1302315
BER,20111001,1290184
BER,20111101,1287905
BER,20111201,1276015
BER,20120101,1289132
BER,20120201,1286328
BER,20120301,1366497
BER,20120401,1393276
BER,20120501,1360409
BER,20120601,1315561
BER,20120701,1267829
BER,20120801,1224029
BER,20120901,1194273
BER,20121001,1177928
